BetaPara	BetaPerp	DeltaPara	DeltaPerp	Beta	Delta	Energy
0.095389055	0.095389055	0.128834104	0.128834104	0.095389055	0.128834104	76.7289
0.09173412	0.09173412	0.127022892	0.127022892	0.09173412	0.127022892	77.9699
0.087615322	0.087615322	0.124702974	0.124702974	0.087615322	0.124702974	79.231
0.08368056	0.08368056	0.122051067	0.122051067	0.08368056	0.122051067	80.5125
0.079923187	0.079923187	0.118964977	0.118964977	0.079923187	0.118964977	81.8147
0.077845181	0.077845181	0.114543076	0.114543076	0.077845181	0.114543076	83.138
0.078683002	0.078683002	0.114513555	0.114513555	0.078683002	0.114513555	84.4827
0.074051547	0.074051547	0.115104815	0.115104815	0.074051547	0.115104815	85.8491
0.069604926	0.069604926	0.114411095	0.114411095	0.069604926	0.114411095	87.2377
0.064742496	0.064742496	0.112873021	0.112873021	0.064742496	0.112873021	88.6487
0.060219309	0.060219309	0.110708936	0.110708936	0.060219309	0.110708936	90.0825
0.056012433	0.056012433	0.108326786	0.108326786	0.056012433	0.108326786	91.5395
0.051683956	0.051683956	0.105627328	0.105627328	0.051683956	0.105627328	93.0201
0.047677049	0.047677049	0.102485761	0.102485761	0.047677049	0.102485761	94.5246
0.044315423	0.044315423	0.098952157	0.098952157	0.044315423	0.098952157	96.0535
0.041449182	0.041449182	0.095685217	0.095685217	0.041449182	0.095685217	97.6071
0.03876837	0.03876837	0.092596061	0.092596061	0.03876837	0.092596061	99.1858
0.036260976	0.036260976	0.089620734	0.089620734	0.036260976	0.089620734	100.79
0.033757152	0.033757152	0.086728831	0.086728831	0.033757152	0.086728831	102.42
0.031364103	0.031364103	0.083759453	0.083759453	0.031364103	0.083759453	104.077
0.029141138	0.029141138	0.080751266	0.080751266	0.029141138	0.080751266	105.76
0.027075273	0.027075273	0.07769937	0.07769937	0.027075273	0.07769937	107.471
0.025356764	0.025356764	0.074640306	0.074640306	0.025356764	0.074640306	109.209
0.023830732	0.023830732	0.071778071	0.071778071	0.023830732	0.071778071	110.975
0.022396341	0.022396341	0.069058791	0.069058791	0.022396341	0.069058791	112.77
0.021048274	0.021048274	0.066429151	0.066429151	0.021048274	0.066429151	114.594
0.019781233	0.019781233	0.063867724	0.063867724	0.019781233	0.063867724	116.448
0.018631826	0.018631826	0.061378717	0.061378717	0.018631826	0.061378717	118.331
0.017566487	0.017566487	0.058994667	0.058994667	0.017566487	0.058994667	120.245
0.016562069	0.016562069	0.056697331	0.056697331	0.016562069	0.056697331	122.19
0.015615219	0.015615219	0.054479354	0.054479354	0.015615219	0.054479354	124.166
0.01472222	0.01472222	0.052343504	0.052343504	0.01472222	0.052343504	126.175
0.013823146	0.013823146	0.050366164	0.050366164	0.013823146	0.050366164	128.215
0.012831613	0.012831613	0.048315924	0.048315924	0.012831613	0.048315924	130.289
0.011911103	0.011911103	0.04618435	0.04618435	0.011911103	0.04618435	132.397
0.011151323	0.011151323	0.043924134	0.043924134	0.011151323	0.043924134	134.538
0.010659079	0.010659079	0.04185038	0.04185038	0.010659079	0.04185038	136.714
0.010188584	0.010188584	0.039907717	0.039907717	0.010188584	0.039907717	138.925
0.009738817	0.009738817	0.038041529	0.038041529	0.009738817	0.038041529	141.172
0.009308833	0.009308833	0.036205674	0.036205674	0.009308833	0.036205674	143.456
0.009002652	0.009002652	0.034349748	0.034349748	0.009002652	0.034349748	145.776
0.00880222	0.00880222	0.032645454	0.032645454	0.00880222	0.032645454	148.134
0.00860625	0.00860625	0.0310546	0.0310546	0.00860625	0.0310546	150.53
0.008414759	0.008414759	0.029525102	0.029525102	0.008414759	0.029525102	152.964
0.008227325	0.008227325	0.028030666	0.028030666	0.008227325	0.028030666	155.439
0.008071195	0.008071195	0.026508563	0.026508563	0.008071195	0.026508563	157.953
0.008073911	0.008073911	0.025084299	0.025084299	0.008073911	0.025084299	160.507
0.008076555	0.008076555	0.023760336	0.023760336	0.008076555	0.023760336	163.103
0.00807909	0.00807909	0.022503384	0.022503384	0.00807909	0.022503384	165.742
0.00808179	0.00808179	0.021281472	0.021281472	0.00808179	0.021281472	168.422
0.008150527	0.008150527	0.020010214	0.020010214	0.008150527	0.020010214	171.146
0.008333023	0.008333023	0.018871216	0.018871216	0.008333023	0.018871216	173.915
0.008519766	0.008519766	0.017844683	0.017844683	0.008519766	0.017844683	176.727
0.008710559	0.008710559	0.016889412	0.016889412	0.008710559	0.016889412	179.586
0.008905638	0.008905638	0.015996779	0.015996779	0.008905638	0.015996779	182.491
0.009108485	0.009108485	0.015162632	0.015162632	0.009108485	0.015162632	185.442
0.00931814	0.00931814	0.01438675	0.01438675	0.00931814	0.01438675	188.442
0.009532739	0.009532739	0.013667558	0.013667558	0.009532739	0.013667558	191.489
0.00975212	0.00975212	0.013002452	0.013002452	0.00975212	0.013002452	194.587
0.009976663	0.009976663	0.012394035	0.012394035	0.009976663	0.012394035	197.734
0.010198286	0.010198286	0.011857995	0.011857995	0.010198286	0.011857995	200.932
0.010396954	0.010396954	0.011361827	0.011361827	0.010396954	0.011361827	204.182
0.010599497	0.010599497	0.010906075	0.010906075	0.010599497	0.010906075	207.485
0.010806077	0.010806077	0.010506447	0.010506447	0.010806077	0.010506447	210.84
0.01100927	0.01100927	0.010218872	0.010218872	0.01100927	0.010218872	214.251
0.011082126	0.011082126	0.009944029	0.009944029	0.011082126	0.009944029	217.716
0.011155441	0.011155441	0.009651997	0.009651997	0.011155441	0.009651997	221.237
0.011229098	0.011229098	0.009373638	0.009373638	0.011229098	0.009373638	224.816
0.011303427	0.011303427	0.009119421	0.009119421	0.011303427	0.009119421	228.452
0.011378177	0.011378177	0.008905287	0.008905287	0.011378177	0.008905287	232.147
0.011404577	0.011404577	0.008728911	0.008728911	0.011404577	0.008728911	235.902
0.011408373	0.011408373	0.008547829	0.008547829	0.011408373	0.008547829	239.717
0.011411981	0.011411981	0.008368952	0.008368952	0.011411981	0.008368952	243.595
0.011415723	0.011415723	0.008207826	0.008207826	0.011415723	0.008207826	247.535
0.011419494	0.011419494	0.00808661	0.00808661	0.011419494	0.00808661	251.538
0.011370918	0.011370918	0.007976333	0.007976333	0.011370918	0.007976333	255.607
0.011317305	0.011317305	0.007858386	0.007858386	0.011317305	0.007858386	259.741
0.011263941	0.011263941	0.007747083	0.007747083	0.011263941	0.007747083	263.942
0.011210854	0.011210854	0.007649857	0.007649857	0.011210854	0.007649857	268.211
0.011158004	0.011158004	0.00758	0.00758	0.011158004	0.00758	272.549
0.011057983	0.011057983	0.007550459	0.007550459	0.011057983	0.007550459	276.957
0.010918556	0.010918556	0.00749351	0.00749351	0.010918556	0.00749351	281.437
0.010780917	0.010780917	0.00741468	0.00741468	0.010780917	0.00741468	285.989
0.010644956	0.010644956	0.007332823	0.007332823	0.010644956	0.007332823	290.615
0.010510816	0.010510816	0.007251168	0.007251168	0.010510816	0.007251168	295.315
0.010378269	0.010378269	0.007172559	0.007172559	0.010378269	0.007172559	300.092
0.010247471	0.010247471	0.007099995	0.007099995	0.010247471	0.007099995	304.945
0.010118235	0.010118235	0.007041273	0.007041273	0.010118235	0.007041273	309.878
0.009964559	0.009964559	0.006988965	0.006988965	0.009964559	0.006988965	314.89
0.00980597	0.00980597	0.006928283	0.006928283	0.00980597	0.006928283	319.983
0.009649903	0.009649903	0.006862511	0.006862511	0.009649903	0.006862511	325.158
0.009496261	0.009496261	0.006797783	0.006797783	0.009496261	0.006797783	330.418
0.009345143	0.009345143	0.006736111	0.006736111	0.009345143	0.006736111	335.762
0.009196433	0.009196433	0.006679914	0.006679914	0.009196433	0.006679914	341.192
0.009050006	0.009050006	0.006632949	0.006632949	0.009050006	0.006632949	346.711
0.008904717	0.008904717	0.006611324	0.006611324	0.008904717	0.006611324	352.319
0.008708501	0.008708501	0.006581465	0.006581465	0.008708501	0.006581465	358.017
0.008516609	0.008516609	0.006534846	0.006534846	0.008516609	0.006534846	363.808
0.008328944	0.008328944	0.006478286	0.006478286	0.008328944	0.006478286	369.692
0.008145401	0.008145401	0.006417985	0.006417985	0.008145401	0.006417985	375.672
0.007965947	0.007965947	0.006356126	0.006356126	0.007965947	0.006356126	381.748
0.007790436	0.007790436	0.006294578	0.006294578	0.007790436	0.006294578	387.922
0.007618747	0.007618747	0.006235565	0.006235565	0.007618747	0.006235565	394.197
0.007450853	0.007450853	0.006185527	0.006185527	0.007450853	0.006185527	400.573
0.007263911	0.007263911	0.006141332	0.006141332	0.007263911	0.006141332	407.052
0.007070754	0.007070754	0.006084228	0.006084228	0.007070754	0.006084228	413.635
0.006882649	0.006882649	0.006016293	0.006016293	0.006882649	0.006016293	420.326
0.006699602	0.006699602	0.00594457	0.00594457	0.006699602	0.00594457	427.124
0.006521412	0.006521412	0.00587064	0.00587064	0.006521412	0.00587064	434.032
0.006347943	0.006347943	0.005795756	0.005795756	0.006347943	0.005795756	441.052
0.006179109	0.006179109	0.005723297	0.005723297	0.006179109	0.005723297	448.186
0.006008074	0.006008074	0.005653135	0.005653135	0.006008074	0.005653135	455.435
0.005835487	0.005835487	0.005576637	0.005576637	0.005835487	0.005576637	462.802
0.005667895	0.005667895	0.005496184	0.005496184	0.005667895	0.005496184	470.287
0.005505104	0.005505104	0.005413692	0.005413692	0.005505104	0.005413692	477.894
0.005346983	0.005346983	0.005330105	0.005330105	0.005346983	0.005330105	485.623
0.005193409	0.005193409	0.005245969	0.005245969	0.005193409	0.005245969	493.478
0.005044259	0.005044259	0.005161766	0.005161766	0.005044259	0.005161766	501.459
0.004899365	0.004899365	0.005078483	0.005078483	0.004899365	0.005078483	509.57
0.004757026	0.004757026	0.004995526	0.004995526	0.004757026	0.004995526	517.812
0.004618312	0.004618312	0.004912108	0.004912108	0.004618312	0.004912108	526.187
0.004483621	0.004483621	0.004828875	0.004828875	0.004483621	0.004828875	534.698
0.004352871	0.004352871	0.004746247	0.004746247	0.004352871	0.004746247	543.346
0.004225934	0.004225934	0.004664532	0.004664532	0.004225934	0.004664532	552.134
0.004102689	0.004102689	0.004584085	0.004584085	0.004102689	0.004584085	561.065
0.003982499	0.003982499	0.004506117	0.004506117	0.003982499	0.004506117	570.139
0.003863507	0.003863507	0.004428121	0.004428121	0.003863507	0.004428121	579.361
0.003748085	0.003748085	0.00435041	0.00435041	0.003748085	0.00435041	588.732
0.003636108	0.003636108	0.004273611	0.004273611	0.003636108	0.004273611	598.254
0.003527476	0.003527476	0.004198086	0.004198086	0.003527476	0.004198086	607.93
0.003422086	0.003422086	0.004124176	0.004124176	0.003422086	0.004124176	617.763
0.003319845	0.003319845	0.004052278	0.004052278	0.003319845	0.004052278	627.755
0.003220666	0.003220666	0.003983106	0.003983106	0.003220666	0.003983106	637.908
0.003124443	0.003124443	0.003918947	0.003918947	0.003124443	0.003918947	648.226
0.003021911	0.003021911	0.003860682	0.003860682	0.003021911	0.003860682	658.711
0.002915032	0.002915032	0.003797135	0.003797135	0.002915032	0.003797135	669.365
0.002811948	0.002811948	0.003728206	0.003728206	0.002811948	0.003728206	680.191
0.002712488	0.002712488	0.003658029	0.003658029	0.002712488	0.003658029	691.193
0.002616565	0.002616565	0.003587274	0.003587274	0.002616565	0.003587274	702.372
0.002524021	0.002524021	0.003516384	0.003516384	0.002524021	0.003516384	713.733
0.00243476	0.00243476	0.003445256	0.003445256	0.00243476	0.003445256	725.277
0.00234963	0.00234963	0.00337491	0.00337491	0.00234963	0.00337491	737.008
0.002267516	0.002267516	0.003305872	0.003305872	0.002267516	0.003305872	748.928
0.002188268	0.002188268	0.003238058	0.003238058	0.002188268	0.003238058	761.042
0.00211179	0.00211179	0.003171629	0.003171629	0.00211179	0.003171629	773.351
0.002037989	0.002037989	0.003106687	0.003106687	0.002037989	0.003106687	785.859
0.001966747	0.001966747	0.003045745	0.003045745	0.001966747	0.003045745	798.57
0.001893122	0.001893122	0.002984972	0.002984972	0.001893122	0.002984972	811.486
0.001822249	0.001822249	0.002923143	0.002923143	0.001822249	0.002923143	824.611
0.001754029	0.001754029	0.00286188	0.00286188	0.001754029	0.00286188	837.949
0.00168837	0.00168837	0.002801713	0.002801713	0.00168837	0.002801713	851.502
0.001625167	0.001625167	0.002742858	0.002742858	0.001625167	0.002742858	865.274
0.00156403	0.00156403	0.002689563	0.002689563	0.00156403	0.002689563	879.269
0.001497647	0.001497647	0.002635222	0.002635222	0.001497647	0.002635222	893.491
0.001434082	0.001434082	0.00257797	0.00257797	0.001434082	0.00257797	907.943
0.001373218	0.001373218	0.002520503	0.002520503	0.001373218	0.002520503	922.628
0.001314934	0.001314934	0.002463476	0.002463476	0.001314934	0.002463476	937.551
0.001259126	0.001259126	0.002407763	0.002407763	0.001259126	0.002407763	952.715
0.001203723	0.001203723	0.002353104	0.002353104	0.001203723	0.002353104	968.124
0.001149769	0.001149769	0.002298256	0.002298256	0.001149769	0.002298256	983.783
0.001098235	0.001098235	0.00224349	0.00224349	0.001098235	0.00224349	999.695
0.001049016	0.001049016	0.00218962	0.00218962	0.001049016	0.00218962	1015.86
0.001002003	0.001002003	0.002139097	0.002139097	0.001002003	0.002139097	1032.29
0.00095248	0.00095248	0.002089585	0.002089585	0.00095248	0.002089585	1048.99
0.000903056	0.000903056	0.002037552	0.002037552	0.000903056	0.002037552	1065.96
0.000856202	0.000856202	0.001984451	0.001984451	0.000856202	0.001984451	1083.2
0.000811778	0.000811778	0.001931182	0.001931182	0.000811778	0.001931182	1100.72
0.000769664	0.000769664	0.001878153	0.001878153	0.000769664	0.001878153	1118.52
0.000729733	0.000729733	0.001825566	0.001825566	0.000729733	0.001825566	1136.61
0.000691847	0.000691847	0.001773548	0.001773548	0.000691847	0.001773548	1155
0.000655933	0.000655933	0.00172221	0.00172221	0.000655933	0.00172221	1173.68
0.000621887	0.000621887	0.00167159	0.00167159	0.000621887	0.00167159	1192.66
0.000589605	0.000589605	0.0016215	0.0016215	0.000589605	0.0016215	1211.95
0.000559498	0.000559498	0.001571559	0.001571559	0.000559498	0.001571559	1231.55
0.000532574	0.000532574	0.001523494	0.001523494	0.000532574	0.001523494	1251.47
0.000506938	0.000506938	0.001477349	0.001477349	0.000506938	0.001477349	1271.72
0.000482542	0.000482542	0.001432813	0.001432813	0.000482542	0.001432813	1292.29
0.000459325	0.000459325	0.001390161	0.001390161	0.000459325	0.001390161	1313.19
0.00043579	0.00043579	0.001348526	0.001348526	0.00043579	0.001348526	1334.43
0.000413209	0.000413209	0.001307365	0.001307365	0.000413209	0.001307365	1356.01
0.000391801	0.000391801	0.001266788	0.001266788	0.000391801	0.001266788	1377.94
0.000371496	0.000371496	0.001227054	0.001227054	0.000371496	0.001227054	1400.23
0.000352246	0.000352246	0.001187627	0.001187627	0.000352246	0.001187627	1422.88
0.000335168	0.000335168	0.001149489	0.001149489	0.000335168	0.001149489	1445.89
0.000319062	0.000319062	0.001113353	0.001113353	0.000319062	0.001113353	1469.28
0.000303689	0.000303689	0.001079874	0.001079874	0.000303689	0.001079874	1493.04
0.000285255	0.000285255	0.001046434	0.001046434	0.000285255	0.001046434	1517.19
0.000267861	0.000267861	0.001011898	0.001011898	0.000267861	0.001011898	1541.73
0.000252156	0.000252156	0.000976551	0.000976551	0.000252156	0.000976551	1566.67
0.000239054	0.000239054	0.000942254	0.000942254	0.000239054	0.000942254	1592.01
0.000226768	0.000226768	0.000909755	0.000909755	0.000226768	0.000909755	1617.76
0.000215007	0.000215007	0.000878663	0.000878663	0.000215007	0.000878663	1643.92
0.000202727	0.000202727	0.000847701	0.000847701	0.000202727	0.000847701	1670.51
0.000191749	0.000191749	0.000816741	0.000816741	0.000191749	0.000816741	1697.53
0.000182175	0.000182175	0.00078718	0.00078718	0.000182175	0.00078718	1724.99
0.00017233	0.00017233	0.000758139	0.000758139	0.00017233	0.000758139	1752.89
0.000164092	0.000164092	0.000729326	0.000729326	0.000164092	0.000729326	1781.24
0.00015687	0.00015687	0.000702471	0.000702471	0.00015687	0.000702471	1810.05
0.000148424	0.000148424	0.00067603	0.00067603	0.000148424	0.00067603	1839.32
0.00014099	0.00014099	0.000649371	0.000649371	0.00014099	0.000649371	1869.07
0.000134665	0.000134665	0.000624133	0.000624133	0.000134665	0.000624133	1899.3
0.000127577	0.000127577	0.000599632	0.000599632	0.000127577	0.000599632	1930.02
0.000120284	0.000120284	0.000574382	0.000574382	0.000120284	0.000574382	1961.24
0.000114039	0.000114039	0.000548937	0.000548937	0.000114039	0.000548937	1992.96
0.000108305	0.000108305	0.000523853	0.000523853	0.000108305	0.000523853	2025.2
0.000102528	0.000102528	0.00049851	0.00049851	0.000102528	0.00049851	2057.95
9.68803E-05	9.68803E-05	0.00047224	0.00047224	9.68803E-05	0.00047224	2091.24
9.14143E-05	9.14143E-05	0.000444275	0.000444275	9.14143E-05	0.000444275	2125.06
8.63096E-05	8.63096E-05	0.000413227	0.000413227	8.63096E-05	0.000413227	2159.43
0.000081268	0.000081268	0.000375677	0.000375677	0.000081268	0.000375677	2194.36
9.68247E-05	9.68247E-05	0.000311231	0.000311231	9.68247E-05	0.000311231	2229.85
