BetaPara	BetaPerp	DeltaPara	DeltaPerp	Beta	Delta	Energy
0.752890603	0.752890603	-4335.369944	-4335.369944	0.752890603	-4335.369944	10
0.761787755	0.761787755	-4198.492908	-4198.492908	0.761787755	-4198.492908	10.1617
0.77077497	0.77077497	-4065.870194	-4065.870194	0.77077497	-4065.870194	10.3261
0.779876534	0.779876534	-3937.481614	-3937.481614	0.779876534	-3937.481614	10.4931
0.789091633	0.789091633	-3813.147771	-3813.147771	0.789091633	-3813.147771	10.6628
0.797810539	0.797810539	-3692.702172	-3692.702172	0.797810539	-3692.702172	10.8353
0.806559735	0.806559735	-3576.055013	-3576.055013	0.806559735	-3576.055013	11.0106
0.815427653	0.815427653	-3463.176827	-3463.176827	0.815427653	-3463.176827	11.1886
0.824101764	0.824101764	-3353.789423	-3353.789423	0.824101764	-3353.789423	11.3696
0.832308438	0.832308438	-3247.872896	-3247.872896	0.832308438	-3247.872896	11.5535
0.840589852	0.840589852	-3145.287688	-3145.287688	0.840589852	-3145.287688	11.7404
0.84844718	0.84844718	-3045.954651	-3045.954651	0.84844718	-3045.954651	11.9303
0.852035729	0.852035729	-2949.793556	-2949.793556	0.852035729	-2949.793556	12.1232
0.855629319	0.855629319	-2856.630704	-2856.630704	0.855629319	-2856.630704	12.3193
0.858034298	0.858034298	-2766.397839	-2766.397839	0.858034298	-2766.397839	12.5186
0.856722866	0.856722866	-2679.067507	-2679.067507	0.856722866	-2679.067507	12.721
0.855392909	0.855392909	-2594.442818	-2594.442818	0.855392909	-2594.442818	12.9268
0.854069917	0.854069917	-2512.502457	-2512.502457	0.854069917	-2512.502457	13.1359
0.852761589	0.852761589	-2433.180038	-2433.180038	0.852761589	-2433.180038	13.3483
0.851444606	0.851444606	-2356.339117	-2356.339117	0.851444606	-2356.339117	13.5642
0.851589004	0.851589004	-2281.922232	-2281.922232	0.851589004	-2281.922232	13.7836
0.851841258	0.851841258	-2209.839387	-2209.839387	0.851841258	-2209.839387	14.0066
0.852107535	0.852107535	-2140.065969	-2140.065969	0.852107535	-2140.065969	14.2331
0.852369779	0.852369779	-2072.484892	-2072.484892	0.852369779	-2072.484892	14.4633
0.852621916	0.852621916	-2007.016969	-2007.016969	0.852621916	-2007.016969	14.6973
0.852808505	0.852808505	-1943.639464	-1943.639464	0.852808505	-1943.639464	14.935
0.849316269	0.849316269	-1882.274289	-1882.274289	0.849316269	-1882.274289	15.1765
0.845825754	0.845825754	-1822.824112	-1822.824112	0.845825754	-1822.824112	15.422
0.842360528	0.842360528	-1765.267684	-1765.267684	0.842360528	-1765.267684	15.6714
0.838942555	0.838942555	-1709.514287	-1709.514287	0.838942555	-1709.514287	15.9249
0.835663548	0.835663548	-1655.521903	-1655.521903	0.835663548	-1655.521903	16.1825
0.832402941	0.832402941	-1603.247835	-1603.247835	0.832402941	-1603.247835	16.4442
0.829149639	0.829149639	-1552.611743	-1552.611743	0.829149639	-1552.611743	16.7102
0.825909356	0.825909356	-1503.575409	-1503.575409	0.825909356	-1503.575409	16.9805
0.828063492	0.828063492	-1456.099998	-1456.099998	0.828063492	-1456.099998	17.2551
0.835865255	0.835865255	-1410.114085	-1410.114085	0.835865255	-1410.114085	17.5342
0.84374136	0.84374136	-1365.582689	-1365.582689	0.84374136	-1365.582689	17.8178
0.851691092	0.851691092	-1322.455692	-1322.455692	0.851691092	-1322.455692	18.106
0.858320476	0.858320476	-1280.685358	-1280.685358	0.858320476	-1280.685358	18.3989
0.864349086	0.864349086	-1240.252698	-1240.252698	0.864349086	-1240.252698	18.6964
0.870410202	0.870410202	-1201.085214	-1201.085214	0.870410202	-1201.085214	18.9988
0.876514565	0.876514565	-1163.153574	-1163.153574	0.876514565	-1163.153574	19.3061
0.882658099	0.882658099	-1126.416471	-1126.416471	0.882658099	-1126.416471	19.6184
0.886185566	0.886185566	-1090.845346	-1090.845346	0.886185566	-1090.845346	19.9357
0.889525317	0.889525317	-1056.390419	-1056.390419	0.889525317	-1056.390419	20.2582
0.892888195	0.892888195	-1023.035406	-1023.035406	0.892888195	-1023.035406	20.5858
0.896253856	0.896253856	-990.7238702	-990.7238702	0.896253856	-990.7238702	20.9188
0.899640444	0.899640444	-959.440686	-959.440686	0.899640444	-959.440686	21.2571
0.897306263	0.897306263	-929.1428081	-929.1428081	0.897306263	-929.1428081	21.6009
0.886743771	0.886743771	-899.7984525	-899.7984525	0.886743771	-899.7984525	21.9503
0.876308707	0.876308707	-871.3848899	-871.3848899	0.876308707	-871.3848899	22.3053
0.855367217	0.855367217	-843.8641973	-843.8641973	0.855367217	-843.8641973	22.6661
0.817942641	0.817942641	-817.2152464	-817.2152464	0.817942641	-817.2152464	23.0327
0.782152239	0.782152239	-791.4030837	-791.4030837	0.782152239	-791.4030837	23.4053
0.74099912	0.74099912	-766.4144317	-766.4144317	0.74099912	-766.4144317	23.7838
0.701339777	0.701339777	-742.2099433	-742.2099433	0.701339777	-742.2099433	24.1685
0.661288179	0.661288179	-718.7711835	-718.7711835	0.661288179	-718.7711835	24.5594
0.620410027	0.620410027	-696.0738617	-696.0738617	0.620410027	-696.0738617	24.9566
0.593350882	0.593350882	-674.0892308	-674.0892308	0.593350882	-674.0892308	25.3603
0.576697886	0.576697886	-652.8004915	-652.8004915	0.576697886	-652.8004915	25.7705
0.560513391	0.560513391	-632.1857692	-632.1857692	0.560513391	-632.1857692	26.1873
0.544780299	0.544780299	-612.2193282	-612.2193282	0.544780299	-612.2193282	26.6109
0.54314717	0.54314717	-592.885774	-592.885774	0.54314717	-592.885774	27.0413
0.543091831	0.543091831	-574.165321	-574.165321	0.543091831	-574.165321	27.4786
0.543031231	0.543031231	-556.0308642	-556.0308642	0.543031231	-556.0308642	27.9231
0.552845866	0.552845866	-538.4725952	-538.4725952	0.552845866	-538.4725952	28.3747
0.563791652	0.563791652	-521.4652964	-521.4652964	0.563791652	-521.4652964	28.8337
0.574953941	0.574953941	0.140497832	0.140497832	0.574953941	0.140497832	29.3
0.584284397	0.584284397	0.152695722	0.152695722	0.584284397	0.152695722	29.7739
0.58621749	0.58621749	0.175685258	0.175685258	0.58621749	0.175685258	30.2555
0.578798923	0.578798923	0.192990158	0.192990158	0.578798923	0.192990158	30.7449
0.571486137	0.571486137	0.210151709	0.210151709	0.571486137	0.210151709	31.2421
0.554240012	0.554240012	0.234888345	0.234888345	0.554240012	0.234888345	31.7475
0.526137618	0.526137618	0.244799343	0.244799343	0.526137618	0.244799343	32.2609
0.505063897	0.505063897	0.24559841	0.24559841	0.505063897	0.24559841	32.7827
0.487572598	0.487572598	0.2472139	0.2472139	0.487572598	0.2472139	33.313
0.470684539	0.470684539	0.248240209	0.248240209	0.470684539	0.248240209	33.8518
0.454384585	0.454384585	0.248427367	0.248427367	0.454384585	0.248427367	34.3993
0.438625847	0.438625847	0.247806997	0.247806997	0.438625847	0.247806997	34.9557
0.423392089	0.423392089	0.246372204	0.246372204	0.423392089	0.246372204	35.5211
0.408687409	0.408687409	0.244096624	0.244096624	0.408687409	0.244096624	36.0956
0.394495493	0.394495493	0.240753758	0.240753758	0.394495493	0.240753758	36.6794
0.382379741	0.382379741	0.236137279	0.236137279	0.382379741	0.236137279	37.2727
0.37162601	0.37162601	0.232622523	0.232622523	0.37162601	0.232622523	37.8755
0.361170238	0.361170238	0.229456886	0.229456886	0.361170238	0.229456886	38.4882
0.351011887	0.351011887	0.226386865	0.226386865	0.351011887	0.226386865	39.1107
0.341138862	0.341138862	0.223220918	0.223220918	0.341138862	0.223220918	39.7432
0.331977832	0.331977832	0.219748468	0.219748468	0.331977832	0.219748468	40.3861
0.323424887	0.323424887	0.216826714	0.216826714	0.323424887	0.216826714	41.0393
0.315095494	0.315095494	0.214220011	0.214220011	0.315095494	0.214220011	41.7031
0.306979821	0.306979821	0.211829814	0.211829814	0.306979821	0.211829814	42.3776
0.299071973	0.299071973	0.209676778	0.209676778	0.299071973	0.209676778	43.063
0.291370829	0.291370829	0.208003535	0.208003535	0.291370829	0.208003535	43.7595
0.283203944	0.283203944	0.207443298	0.207443298	0.283203944	0.207443298	44.4673
0.273559838	0.273559838	0.205885604	0.205885604	0.273559838	0.205885604	45.1865
0.264241633	0.264241633	0.203417217	0.203417217	0.264241633	0.203417217	45.9174
0.25524248	0.25524248	0.200534007	0.200534007	0.25524248	0.200534007	46.66
0.246406455	0.246406455	0.197437212	0.197437212	0.246406455	0.197437212	47.4147
0.23767045	0.23767045	0.19376829	0.19376829	0.23767045	0.19376829	48.1816
0.229242318	0.229242318	0.18955905	0.18955905	0.229242318	0.18955905	48.9609
0.221114776	0.221114776	0.184487101	0.184487101	0.221114776	0.184487101	49.7528
0.214891117	0.214891117	0.177803723	0.177803723	0.214891117	0.177803723	50.5576
0.210334208	0.210334208	0.17287221	0.17287221	0.210334208	0.17287221	51.3753
0.205873277	0.205873277	0.16881316	0.16881316	0.205873277	0.16881316	52.2062
0.201508522	0.201508522	0.165059542	0.165059542	0.201508522	0.165059542	53.0506
0.197234703	0.197234703	0.161357979	0.161357979	0.197234703	0.161357979	53.9087
0.193884303	0.193884303	0.157090324	0.157090324	0.193884303	0.157090324	54.7806
0.191624128	0.191624128	0.15420822	0.15420822	0.191624128	0.15420822	55.6667
0.189391452	0.189391452	0.152222104	0.152222104	0.189391452	0.152222104	56.567
0.187183902	0.187183902	0.150960135	0.150960135	0.187183902	0.150960135	57.482
0.185002494	0.185002494	0.150582184	0.150582184	0.185002494	0.150582184	58.4117
0.18207587	0.18207587	0.151768657	0.151768657	0.18207587	0.151768657	59.3564
0.177911808	0.177911808	0.152379041	0.152379041	0.177911808	0.152379041	60.3165
0.173844331	0.173844331	0.152842344	0.152842344	0.173844331	0.152842344	61.2921
0.169869054	0.169869054	0.154015607	0.154015607	0.169869054	0.154015607	62.2834
0.16400116	0.16400116	0.157070543	0.157070543	0.16400116	0.157070543	63.2908
0.15638371	0.15638371	0.157818721	0.157818721	0.15638371	0.157818721	64.3145
0.149021152	0.149021152	0.157558283	0.157558283	0.149021152	0.157558283	65.3547
0.141194638	0.141194638	0.156375018	0.156375018	0.141194638	0.156375018	66.4118
0.133779916	0.133779916	0.154272977	0.154272977	0.133779916	0.154272977	67.4859
0.126753983	0.126753983	0.151492606	0.151492606	0.126753983	0.151492606	68.5775
0.120097524	0.120097524	0.147883352	0.147883352	0.120097524	0.147883352	69.6867
0.115023519	0.115023519	0.143874725	0.143874725	0.115023519	0.143874725	70.8138
0.110530453	0.110530453	0.140498597	0.140498597	0.110530453	0.140498597	71.9591
0.10621353	0.10621353	0.137329786	0.137329786	0.10621353	0.137329786	73.123
0.102248355	0.102248355	0.134066389	0.134066389	0.102248355	0.134066389	74.3057
0.09875908	0.09875908	0.131243779	0.131243779	0.09875908	0.131243779	75.5076
