Energy,DeltaPara,DeltaPerp,BetaPara,BetaPerp
1.000000000000000000e+01,-1.030978226536842929e-01,-8.478937164157183959e-02,2.701909410535729417e-01,2.701909410535729417e-01
1.016169999999999973e+01,-1.252429065727249657e-01,-1.075117710880196670e-01,2.761355210950511285e-01,2.761355210950511285e-01
1.032610000000000028e+01,-8.405848038259050581e-02,-6.688671662077372293e-02,2.822061249420568241e-01,2.822061249420568241e-01
1.049310000000000009e+01,-6.623364248577590097e-02,-4.960339179444648444e-02,2.884138058471093502e-01,2.884138058471093502e-01
1.066280000000000072e+01,-5.763310407204847580e-02,-4.152726445917651749e-02,2.947568536143076456e-01,2.947568536143076456e-01
1.083530000000000015e+01,-5.397511315745209121e-02,-3.837728484662000089e-02,3.016325259366245959e-01,3.016325259366245959e-01
1.101060000000000016e+01,-5.263173776089423439e-02,-3.752589975937176831e-02,3.098148819048151537e-01,3.098148819048151537e-01
1.118859999999999921e+01,-5.213715518013049832e-02,-3.750741077400833456e-02,3.182275732287161985e-01,3.182275732287161985e-01
1.136960000000000015e+01,-5.214372276385955546e-02,-3.797534857952444137e-02,3.268607216597490539e-01,3.268607216597490539e-01
1.155349999999999966e+01,-5.226501216776565512e-02,-3.854336879477875122e-02,3.357314086951510013e-01,3.357314086951510013e-01
1.174039999999999928e+01,-5.213669943545545804e-02,-3.884773608482845059e-02,3.448391081119194235e-01,3.448391081119194235e-01
1.193030000000000079e+01,-5.109177216307327768e-02,-3.822177186655176251e-02,3.541977733143977791e-01,3.541977733143977791e-01
1.212320000000000064e+01,-4.962424957438258538e-02,-3.715983375661311566e-02,3.621950480060134314e-01,3.621950480060134314e-01
1.231930000000000014e+01,-4.831454176493923253e-02,-3.624306447264231956e-02,3.702804612707292775e-01,3.702804612707292775e-01
1.251859999999999928e+01,-4.664857624526031615e-02,-3.495767940521066902e-02,3.785434528633456197e-01,3.785434528633456197e-01
1.272100000000000009e+01,-4.433541744500883036e-02,-3.301285878083784486e-02,3.870006155920100444e-01,3.870006155920100444e-01
1.292680000000000007e+01,-4.108847262523294963e-02,-3.012284029992039897e-02,3.956369338578031858e-01,3.956369338578031858e-01
1.313589999999999947e+01,-3.647212534460621269e-02,-2.585209741904278061e-02,4.044688846528286530e-01,4.044688846528286530e-01
1.334830000000000005e+01,-2.878841811723567568e-02,-1.850295265153106480e-02,4.135035611098092367e-01,4.135035611098092367e-01
1.356419999999999959e+01,-2.011439580376054095e-02,-1.015302634510762206e-02,4.172071087694771419e-01,4.172071087694771419e-01
1.378359999999999985e+01,-1.317971264024393914e-02,-3.532215099662464920e-03,4.199853763001852869e-01,4.199853763001852869e-01
1.400660000000000061e+01,-6.853219221844819228e-03,2.490250909966749363e-03,4.227782947296913063e-01,4.227782947296913063e-01
1.423310000000000031e+01,-3.892825308163258080e-04,8.659900897664062763e-03,4.255970224403279323e-01,4.255970224403279323e-01
1.446330000000000027e+01,7.080797397419262215e-03,1.584494097852526609e-02,4.284335648122646334e-01,4.284335648122646334e-01
1.469730000000000025e+01,1.583319795561926105e-02,2.432121455596157611e-02,4.295784543364574160e-01,4.295784543364574160e-01
1.493500000000000050e+01,2.358400134903458970e-02,3.180470794925482902e-02,4.272589940475642889e-01,4.272589940475642889e-01
1.517650000000000077e+01,2.928820972718556431e-02,3.725009394197142942e-02,4.249538157611967848e-01,4.249538157611967848e-01
1.542200000000000060e+01,3.392922330578714007e-02,4.164036223941526560e-02,4.226559484157059177e-01,4.226559484157059177e-01
1.567140000000000022e+01,3.763087151302231537e-02,4.509925263605837203e-02,4.203735550193404835e-01,4.203735550193404835e-01
