Energy,DeltaPara,DeltaPerp,BetaPara,BetaPerp
1.590000000000000036e+01,4.020959527907539549e-02,4.746542424681176459e-02,4.183271630199524305e-01,4.183271630199524305e-01
1.592489999999999917e+01,4.050252971786126588e-02,4.773575788211825710e-02,4.181008899162566572e-01,4.181008899162566572e-01
1.610000000000000142e+01,4.151788767195832563e-02,4.859513408726139072e-02,4.156997615625483977e-01,4.156997615625483977e-01
1.618250000000000099e+01,4.175978808254268010e-02,4.876529092236005919e-02,4.145704427417732929e-01,4.145704427417732929e-01
1.644419999999999860e+01,3.388374910000626489e-02,4.066877415777225835e-02,4.071331030393600114e-01,4.071331030393600114e-01
1.671020000000000039e+01,1.507689861776540744e-03,8.079145835655183322e-03,4.102960382603657585e-01,4.102960382603657585e-01
1.698049999999999926e+01,2.120560054661789137e-02,2.757023493316142909e-02,5.041663900588957414e-01,5.041663900588957414e-01
1.725509999999999877e+01,8.064611086101035331e-02,8.681050737076306811e-02,4.903543953029683156e-01,4.903543953029683156e-01
1.753419999999999845e+01,1.086389927911575737e-01,1.146094338764943460e-01,4.770773578246613744e-01,4.770773578246613744e-01
1.781779999999999831e+01,1.296045503250581321e-01,1.353871709042573923e-01,4.637351464481506147e-01,4.637351464481506147e-01
1.810600000000000165e+01,1.460222807742306561e-01,1.516230043797265614e-01,4.486834168260750433e-01,4.486834168260750433e-01
1.839890000000000114e+01,1.586307910897614970e-01,1.640553399172659521e-01,4.342110444661507751e-01,4.342110444661507751e-01
1.869640000000000057e+01,1.689194699296307223e-01,1.741734860828935971e-01,4.202985713445317462e-01,4.202985713445317462e-01
1.899879999999999924e+01,1.775699226238751371e-01,1.826587424368954493e-01,4.069099409828313418e-01,4.069099409828313418e-01
1.930610000000000070e+01,1.850392130070005747e-01,1.899680491022258388e-01,3.940258410365353736e-01,3.940258410365353736e-01
1.961840000000000117e+01,1.916862351441162293e-01,1.964601259143000100e-01,3.815819521118906099e-01,3.815819521118906099e-01
1.993570000000000064e+01,1.978109528697622188e-01,2.024348162680504049e-01,3.695101472835213285e-01,3.695101472835213285e-01
2.025819999999999865e+01,2.042856401348839279e-01,2.087641841463464543e-01,3.578916833608604686e-01,3.578916833608604686e-01
2.058579999999999899e+01,2.103597437721480001e-01,2.146976077093755153e-01,3.441844736549778960e-01,3.441844736549778960e-01
2.091880000000000095e+01,2.145417366548825200e-01,2.187433217997504786e-01,3.299359276185834244e-01,3.299359276185834244e-01
2.125710000000000122e+01,2.172174903986118788e-01,2.212871342338507963e-01,3.163086239671814570e-01,3.163086239671814570e-01
2.160089999999999932e+01,2.189899228764171646e-01,2.229317813375538415e-01,3.032691196035967596e-01,3.032691196035967596e-01
2.195029999999999859e+01,2.201145677768380771e-01,2.239326627467071451e-01,2.907910286037706515e-01,2.907910286037706515e-01
2.230529999999999902e+01,2.207913187168306646e-01,2.244895762139745843e-01,2.788511939223435876e-01,2.788511939223435876e-01
2.266610000000000014e+01,2.212938413561603423e-01,2.248760274543499527e-01,2.674224412237878323e-01,2.674224412237878323e-01
2.303269999999999840e+01,2.220139576347663901e-01,2.254837492983384484e-01,2.561877883978164183e-01,2.561877883978164183e-01
2.340530000000000044e+01,2.220683468998938259e-01,2.254292736730931501e-01,2.437430746029072837e-01,2.437430746029072837e-01
2.378379999999999939e+01,2.208852464311006625e-01,2.241407818596661272e-01,2.319128628373367251e-01,2.319128628373367251e-01
2.416850000000000165e+01,2.190726985397236370e-01,2.222261502197006855e-01,2.206631870407099461e-01,2.206631870407099461e-01
2.455940000000000012e+01,2.168098220323627368e-01,2.198644198104898750e-01,2.099544409709783455e-01,2.099544409709783455e-01
2.495660000000000167e+01,2.141986689550589018e-01,2.171575402311645697e-01,1.997637468198214250e-01,1.997637468198214250e-01
2.536029999999999873e+01,2.113261318961461577e-01,2.141922828292349423e-01,1.900739449545696125e-01,1.900739449545696125e-01
2.577049999999999841e+01,2.082844506549704211e-01,2.110608165530094560e-01,1.808601016838984887e-01,1.808601016838984887e-01
2.618730000000000047e+01,2.052163475201488341e-01,2.079057714348229169e-01,1.720683618606550780e-01,1.720683618606550780e-01
2.661090000000000089e+01,2.019414469259237233e-01,2.045466633707049009e-01,1.632883056438299563e-01,1.632883056438299563e-01
2.704129999999999967e+01,1.983248773247252572e-01,2.008485558871662968e-01,1.549594951602223381e-01,1.549594951602223381e-01
2.747860000000000014e+01,1.945309089011647286e-01,1.969756357251359058e-01,1.470599053127127909e-01,1.470599053127127909e-01
2.792310000000000159e+01,1.906165938021503192e-01,1.929848407192371051e-01,1.395648171350086508e-01,1.395648171350086508e-01
2.837470000000000070e+01,1.866226401184575556e-01,1.889168375945535772e-01,1.324553830519464848e-01,1.324553830519464848e-01
2.883370000000000033e+01,1.825781386093715819e-01,1.848006107597092718e-01,1.257098806538007596e-01,1.257098806538007596e-01
2.930000000000000071e+01,1.785137586707666035e-01,1.806667895526297141e-01,1.193116725014197188e-01,1.193116725014197188e-01
2.977390000000000114e+01,1.744791726016093614e-01,1.765649472383886975e-01,1.132407677509091742e-01,1.132407677509091742e-01
3.025550000000000139e+01,1.704234712573975685e-01,1.724441094877360858e-01,1.073528170256627390e-01,1.073528170256627390e-01
3.074490000000000123e+01,1.663148976559645220e-01,1.682724559161163924e-01,1.017880198497960742e-01,1.017880198497960742e-01
3.124210000000000065e+01,1.622116521679988210e-01,1.641081372124467419e-01,9.650956550148248603e-02,9.650956550148248603e-02
3.174749999999999872e+01,1.581221498195732322e-01,1.599594724403835266e-01,9.150138501931953661e-02,9.150138501931953661e-02
3.226089999999999947e+01,1.540603209354260705e-01,1.558403695441276660e-01,8.675506732836955892e-02,8.675506732836955892e-02
3.278269999999999840e+01,1.500341120784022819e-01,1.517586855791850375e-01,8.225536863491988981e-02,8.225536863491988981e-02
3.331300000000000239e+01,1.460511240963234814e-01,1.477219691120406075e-01,7.798921877305312056e-02,7.798921877305312056e-02
3.385179999999999723e+01,1.421170358164593750e-01,1.437358573508015491e-01,7.394567250820684168e-02,7.394567250820684168e-02
3.439929999999999666e+01,1.382325428339543083e-01,1.398009857548569990e-01,7.011225391339573343e-02,7.011225391339573343e-02
3.495570000000000022e+01,1.343813154373549035e-01,1.359009674946584645e-01,6.647827443634780897e-02,6.647827443634780897e-02
3.552109999999999701e+01,1.306015876146076893e-01,1.320739903909636526e-01,6.310867295272733213e-02,6.310867295272733213e-02
3.609559999999999746e+01,1.269352405343137646e-01,1.283618904980329267e-01,5.992368483972403820e-02,5.992368483972403820e-02
3.667940000000000111e+01,1.233662617556430807e-01,1.247486038979361556e-01,5.690009078830412376e-02,5.690009078830412376e-02
3.727270000000000039e+01,1.198879082830593690e-01,1.212273385481697219e-01,5.402951837208174596e-02,5.402951837208174596e-02
3.787550000000000239e+01,1.165012243662011809e-01,1.177991053654854348e-01,5.130447659567926449e-02,5.130447659567926449e-02
3.848819999999999908e+01,1.132102699370092641e-01,1.144679048685467160e-01,4.871721474759956039e-02,4.871721474759956039e-02
3.911070000000000135e+01,1.100460530933146663e-01,1.112647208396136123e-01,4.626105719789678355e-02,4.626105719789678355e-02
3.974320000000000164e+01,1.069801544531216869e-01,1.081610904791385636e-01,4.382925425791232843e-02,4.382925425791232843e-02
4.038609999999999900e+01,1.039257154957425044e-01,1.050701026873853972e-01,4.143926216656897143e-02,4.143926216656897143e-02
4.103929999999999723e+01,1.008791968961551822e-01,1.019881958992926857e-01,3.917989258916208112e-02,3.917989258916208112e-02
4.170309999999999917e+01,9.787301122745852011e-02,9.894773884548679899e-02,3.704205098192831641e-02,3.704205098192831641e-02
4.237760000000000105e+01,9.491543063308589823e-02,9.595697203580988432e-02,3.502127579784523187e-02,3.502127579784523187e-02
4.306300000000000239e+01,9.200968840177189967e-02,9.301909312633034610e-02,3.311077831204339850e-02,3.311077831204339850e-02
4.375950000000000273e+01,8.915401835919280205e-02,9.013230176371576918e-02,3.130430780902564158e-02,3.130430780902564158e-02
4.446730000000000160e+01,8.633783723348445460e-02,8.728598186112615509e-02,2.959669825887529734e-02,2.959669825887529734e-02
4.518650000000000233e+01,8.352937401122408068e-02,8.444833483291007414e-02,2.799873095636818202e-02,2.799873095636818202e-02
4.591740000000000066e+01,8.081196549953506558e-02,8.170266282552758608e-02,2.664293766296083055e-02,2.664293766296083055e-02
4.665999999999999659e+01,7.824652111604887827e-02,7.910985328701802821e-02,2.535332440978004323e-02,2.535332440978004323e-02
4.741470000000000340e+01,7.578017037266532308e-02,7.661699976537743317e-02,2.412657060636325124e-02,2.412657060636325124e-02
4.818160000000000309e+01,7.339974781155687855e-02,7.421091303697018027e-02,2.295956483366841730e-02,2.295956483366841730e-02
4.896090000000000231e+01,7.109737017900366607e-02,7.188368331009131751e-02,2.184922210935565795e-02,2.184922210935565795e-02
4.975280000000000058e+01,6.886737904680804989e-02,6.962962656783101834e-02,2.079285192812746833e-02,2.079285192812746833e-02
5.055760000000000076e+01,6.670474174589970107e-02,6.744368262534970737e-02,1.978756292031381286e-02,1.978756292031381286e-02
5.137530000000000285e+01,6.460515339417620406e-02,6.532152855337790276e-02,1.883113411551826100e-02,1.883113411551826100e-02
5.220620000000000260e+01,6.256234469144174304e-02,6.325686906414255961e-02,1.792128102194561617e-02,1.792128102194561617e-02
5.305060000000000286e+01,6.055913441062549946e-02,6.123249823722998891e-02,1.705571289412035479e-02,1.705571289412035479e-02
5.390870000000000317e+01,5.860740130643980750e-02,5.926027366358424531e-02,1.628075531833476919e-02,1.628075531833476919e-02
5.478059999999999974e+01,5.674435728090206771e-02,5.737738897517902920e-02,1.557882162629531733e-02,1.557882162629531733e-02
5.566669999999999874e+01,5.496844855416573028e-02,5.558226599730461265e-02,1.490747507656928726e-02,1.490747507656928726e-02
5.656700000000000017e+01,5.326326160116767738e-02,5.385847632266860252e-02,1.426549724525461894e-02,1.426549724525461894e-02
5.748199999999999932e+01,5.162256598913368688e-02,5.219976483022169961e-02,1.365145747996436044e-02,1.365145747996436044e-02
5.841170000000000329e+01,5.004384255405720794e-02,5.060359850829642542e-02,1.306434735074910383e-02,1.306434735074910383e-02
5.935640000000000072e+01,4.852613425321224833e-02,4.906900103777574185e-02,1.250275470569120473e-02,1.250275470569120473e-02
6.031649999999999778e+01,4.707546631707639623e-02,4.760197756856220791e-02,1.196558778441735027e-02,1.196558778441735027e-02
6.129209999999999781e+01,4.569299821169232889e-02,4.620367335433768485e-02,1.142847719379335575e-02,1.142847719379335575e-02
6.228340000000000032e+01,4.433991417194096257e-02,4.483525703683147179e-02,1.086074044218732042e-02,1.086074044218732042e-02
6.329079999999999728e+01,4.299823675037790782e-02,4.347873313591715111e-02,1.032125374308116329e-02,1.032125374308116329e-02
6.431449999999999534e+01,4.168546086958233032e-02,4.215158225056253594e-02,9.808403355047826469e-03,9.808403355047826469e-03
6.535469999999999402e+01,4.040503190102705255e-02,4.085723580380272446e-02,9.321146589054935677e-03,9.321146589054935677e-03
6.641179999999999950e+01,3.915810962581470905e-02,3.959683750622965126e-02,8.858211377259438482e-03,8.858211377259438482e-03
6.748590000000000089e+01,3.794526397489639269e-02,3.837094560393260190e-02,8.418400612481365466e-03,8.418400612481365466e-03
6.857750000000000057e+01,3.676612096038781724e-02,3.717917000011034673e-02,8.000475647925140571e-03,8.000475647925140571e-03
6.968670000000000186e+01,3.562054099263728402e-02,3.602136027035296451e-02,7.603420316003373265e-03,7.603420316003373265e-03
7.081380000000000052e+01,3.450794570708659581e-02,3.489692523946425623e-02,7.226095585934147643e-03,7.226095585934147643e-03
7.195910000000000650e+01,3.342768657228849943e-02,3.380520404938745088e-02,6.867617184073054881e-03,6.867617184073054881e-03
7.312300000000000466e+01,3.237904966698373216e-02,3.274546997936358256e-02,6.526995202938621482e-03,6.526995202938621482e-03
7.430570000000000164e+01,3.136140443911959036e-02,3.171708206066774921e-02,6.203312927231137246e-03,6.203312927231137246e-03
7.550759999999999650e+01,3.037392355687075149e-02,3.071920108660083568e-02,5.895735925088328028e-03,5.895735925088328028e-03
7.672889999999999588e+01,2.941596873885004779e-02,2.975117906092781400e-02,5.603477365113034361e-03,5.603477365113034361e-03
7.796989999999999554e+01,2.848678230212660714e-02,2.881224802772245491e-02,5.325753277777146681e-03,5.325753277777146681e-03
7.923099999999999454e+01,2.758555504218533974e-02,2.790158813427419740e-02,5.061852632138379333e-03,5.061852632138379333e-03
8.051250000000000284e+01,2.671157163985230648e-02,2.701847458573580774e-02,4.811065168770457465e-03,4.811065168770457465e-03
8.181470000000000198e+01,2.586411027927868617e-02,2.616217640451470525e-02,4.572743232702281696e-03,4.572743232702281696e-03
8.313800000000000523e+01,2.504241300426032768e-02,2.533192614251588218e-02,4.346241711488145996e-03,4.346241711488145996e-03
8.448269999999999413e+01,2.424573784334478621e-02,2.452697334593146802e-02,4.130907161860901920e-03,4.130907161860901920e-03
8.584910000000000707e+01,2.347336991083909252e-02,2.374659491560620825e-02,3.926283072662277267e-03,3.926283072662277267e-03
8.723770000000000380e+01,2.272456830600566233e-02,2.299004090693917632e-02,3.731821256431317770e-03,3.731821256431317770e-03
8.864870000000000516e+01,2.199874850724582720e-02,2.225671976907532545e-02,3.547028084510372038e-03,3.547028084510372038e-03
9.008249999999999602e+01,2.129522844916317131e-02,2.154594154730998107e-02,3.371424724197664979e-03,3.371424724197664979e-03
9.153950000000000387e+01,2.061334808441464897e-02,2.085703862715355614e-02,3.204543186261836485e-03,3.204543186261836485e-03
9.302009999999999934e+01,1.995246366625643558e-02,2.018935999891046523e-02,3.045948764729357675e-03,3.045948764729357675e-03
9.452460000000000662e+01,1.931199374377495087e-02,1.954231766306507162e-02,2.895235528757585369e-03,2.895235528757585369e-03
9.605349999999999966e+01,1.869128994181544837e-02,1.891525607562086209e-02,2.752001498769494469e-03,2.752001498769494469e-03
9.760710000000000264e+01,1.808980217893348813e-02,1.830761910222691857e-02,2.615875979463240693e-03,2.615875979463240693e-03
9.918580000000000041e+01,1.750695645942213635e-02,1.771882649924446870e-02,2.486508751781459255e-03,2.486508751781459255e-03
1.007900000000000063e+02,1.694218920462270406e-02,1.714830868118161905e-02,2.363548320166375654e-03,2.363548320166375654e-03
1.024200000000000017e+02,1.639497433046002359e-02,1.659553412023769339e-02,2.246691425010975945e-03,2.246691425010975945e-03
1.040769999999999982e+02,1.586455507240389431e-02,1.605973791568762396e-02,2.135621988266027480e-03,2.135621988266027480e-03
1.057600000000000051e+02,1.535087129412832097e-02,1.554085912864586541e-02,2.030088025284256231e-03,2.030088025284256231e-03
1.074710000000000036e+02,1.485293646846938889e-02,1.503790118924448922e-02,1.929758332555732469e-03,1.929758332555732469e-03
1.092090000000000032e+02,1.437069153317327777e-02,1.455080428556487261e-02,1.834426325735877836e-03,1.834426325735877836e-03
1.109749999999999943e+02,1.390348264660134885e-02,1.407890805430350029e-02,1.743821266969935524e-03,1.743821266969935524e-03
1.127699999999999960e+02,1.345071587010795988e-02,1.362161254710912185e-02,1.657687876247592200e-03,1.657687876247592200e-03
1.145939999999999941e+02,1.301207027948347514e-02,1.317859363780717573e-02,1.575823435169680740e-03,1.575823435169680740e-03
1.164479999999999933e+02,1.258700105480113976e-02,1.274930105020533923e-02,1.498002419280226438e-03,1.498002419280226438e-03
1.183310000000000031e+02,1.217541592610883738e-02,1.233364170668739546e-02,1.424060053359376375e-03,1.424060053359376375e-03
1.202450000000000045e+02,1.177656814008179800e-02,1.193086158713721132e-02,1.353764473728541343e-03,1.353764473728541343e-03
1.221899999999999977e+02,1.139018754443238760e-02,1.154068790760836953e-02,1.286945522695210307e-03,1.286945522695210307e-03
1.241659999999999968e+02,1.101599601599534926e-02,1.116283989422563183e-02,1.223442943566835058e-03,1.223442943566835058e-03
1.261749999999999972e+02,1.065336244504497439e-02,1.079668036792303873e-02,1.163035254780681559e-03,1.163035254780681559e-03
1.282150000000000034e+02,1.030240138204669906e-02,1.044232501894894367e-02,1.105642353252255568e-03,1.105642353252255568e-03
1.302889999999999873e+02,9.962445061767006768e-03,1.009909885383949990e-02,1.051077142148263300e-03,1.051077142148263300e-03
1.323969999999999914e+02,9.633868665108961254e-03,9.767375213635812181e-03,9.992031194807149755e-04,9.992031194807149755e-04
1.345380000000000109e+02,9.315443326537335006e-03,9.445924769363933313e-03,9.476366489237983415e-04,9.476366489237983415e-04
1.367139999999999986e+02,9.005654456954175976e-03,9.133228292783904939e-03,8.987294165770146580e-04,8.987294165770146580e-04
1.389250000000000114e+02,8.705002190056241457e-03,8.829784368061113081e-03,8.523515436925411821e-04,8.523515436925411821e-04
1.411719999999999970e+02,8.413294447779320548e-03,8.535398251253649426e-03,8.083667973769453202e-04,8.083667973769453202e-04
1.434559999999999889e+02,8.130281739095211735e-03,8.249818113029373096e-03,7.666507887487534990e-04,7.666507887487534990e-04
1.457760000000000105e+02,7.855922010755109902e-03,7.973001938414030904e-03,7.270999817902137289e-04,7.270999817902137289e-04
1.481339999999999861e+02,7.589797281015969732e-03,7.704528715086961417e-03,6.895887331399134547e-04,6.895887331399134547e-04
1.505300000000000011e+02,7.331735640108838145e-03,7.444225901802633064e-03,6.540185759642405195e-04,6.540185759642405195e-04
1.529639999999999986e+02,7.081543333316436990e-03,7.191899222732213610e-03,6.202895085655044842e-04,6.202895085655044842e-04
1.554389999999999930e+02,6.838740475485952965e-03,6.947066031633008718e-03,5.882919541046072870e-04,5.882919541046072870e-04
1.579530000000000030e+02,6.603352626715275862e-03,6.709753636842420536e-03,5.579552813542814054e-04,5.579552813542814054e-04
1.605070000000000050e+02,6.375091357933947503e-03,6.479673051567322491e-03,5.291895088490636929e-04,5.291895088490636929e-04
1.631030000000000086e+02,6.153604032933747761e-03,6.256470880188419632e-03,5.019039013679087472e-04,5.019039013679087472e-04
1.657419999999999902e+02,5.938651034462057859e-03,6.039907993828465445e-03,4.760210182039170809e-04,4.760210182039170809e-04
1.684219999999999970e+02,5.730217977325415164e-03,5.829972599316922584e-03,4.514766247191161989e-04,4.514766247191161989e-04
1.711459999999999866e+02,5.527897256592380522e-03,5.626257210704126849e-03,4.281958592566541396e-04,4.281958592566541396e-04
1.739149999999999920e+02,5.331473828267780518e-03,5.428548783967084013e-03,4.061122643967549550e-04,4.061122643967549550e-04
1.767270000000000039e+02,5.140940339217179612e-03,5.236843832214476725e-03,3.851788129851317069e-04,3.851788129851317069e-04
1.795860000000000127e+02,4.955903081252677547e-03,5.050750654703843774e-03,3.653183570163825501e-04,3.653183570163825501e-04
1.824910000000000139e+02,4.776379141183201282e-03,4.870291304891456383e-03,3.464859188695333051e-04,3.464859188695333051e-04
1.854420000000000073e+02,4.602787427977897590e-03,4.695890071086561424e-03,3.286286155292456003e-04,3.286286155292456003e-04
1.884420000000000073e+02,4.433666148753177480e-03,4.526090961910639657e-03,3.094210974230919369e-04,3.094210974230919369e-04
1.914890000000000043e+02,4.267974655569911624e-03,4.359861728700720890e-03,2.912999750158344180e-04,2.912999750158344180e-04
1.945869999999999891e+02,4.106041672325286968e-03,4.197540017429455053e-03,2.742350286487047254e-04,2.742350286487047254e-04
1.977340000000000089e+02,3.947983377149930605e-03,4.039253921061180044e-03,2.581739491034490950e-04,2.581739491034490950e-04
2.009319999999999879e+02,3.793595646260089580e-03,3.884813173335968390e-03,2.430525315865214955e-04,2.430525315865214955e-04
2.041819999999999879e+02,3.642685180850162643e-03,3.734041634588443001e-03,2.288163557712352388e-04,2.288163557712352388e-04
2.074850000000000136e+02,3.495029457006871773e-03,3.586737881601402989e-03,2.154138383705785727e-04,2.154138383705785727e-04
2.108400000000000034e+02,3.350458504398598578e-03,3.442757612688440196e-03,2.027991550335340868e-04,2.027991550335340868e-04
2.142510000000000048e+02,3.208553521061579140e-03,3.301714929327305946e-03,1.909197043334173879e-04,1.909197043334173879e-04
2.177160000000000082e+02,3.069082672311907421e-03,3.163417915600898449e-03,1.797386074807603084e-04,1.797386074807603084e-04
2.212369999999999948e+02,2.931647922120400769e-03,3.027520275857517075e-03,1.693460657752366718e-04,1.693460657752366718e-04
2.248160000000000025e+02,2.795997829036074751e-03,2.893837477057734694e-03,1.598174369795139391e-04,1.598174369795139391e-04
2.284519999999999982e+02,2.661805275238771171e-03,2.762127899388730663e-03,1.508269298326268923e-04,1.508269298326268923e-04
2.321469999999999914e+02,2.528372318309205034e-03,2.631809159710381350e-03,1.423414197424040402e-04,1.423414197424040402e-04
2.359019999999999868e+02,2.394989434504558781e-03,2.502327857912624558e-03,1.343336019008682203e-04,1.343336019008682203e-04
2.397170000000000130e+02,2.260828780260334524e-03,2.373071820029698693e-03,1.267774643266482936e-04,1.267774643266482936e-04
2.435949999999999989e+02,2.124784726346309275e-03,2.243248870211430462e-03,1.196452392745483328e-04,1.196452392745483328e-04
2.475349999999999966e+02,1.985491190713652588e-03,2.111951256465811628e-03,1.126317545847703867e-04,1.126317545847703867e-04
2.515380000000000109e+02,1.840152260728999869e-03,1.977098598193179502e-03,1.050364042771415778e-04,1.050364042771415778e-04
2.556069999999999993e+02,1.685163087767459255e-03,1.836272943135872473e-03,9.795231960642236874e-05,9.795231960642236874e-05
2.597409999999999854e+02,1.515922084603356715e-03,1.686976955659155730e-03,9.134629561372994923e-05,9.134629561372994923e-05
2.639420000000000073e+02,1.323885868897716487e-03,1.524938738208957058e-03,8.518584566062905260e-05,8.518584566062905260e-05
2.682110000000000127e+02,1.092438817766628115e-03,1.344565893380646844e-03,7.944122958627039207e-05,7.944122958627039207e-05
2.699979999999999905e+02,9.786851922646503527e-04,1.267370569443706033e-03,7.719727857080997387e-05,7.719727857080997387e-05
2.700480000000000018e+02,9.755531076241342027e-04,1.265700985936776476e-03,7.679603312866013548e-05,7.674226593637473301e-05
2.700980000000000132e+02,9.722448888258976860e-04,1.263898595213964983e-03,7.639479177561772703e-05,7.621489466140172423e-05
2.701480000000000246e+02,9.688495760481898684e-04,1.262033826918885875e-03,7.599355450865619816e-05,7.561618378738009256e-05
2.701979999999999791e+02,9.653641407200728780e-04,1.260110995236510658e-03,7.559232132475081454e-05,7.494409524701995339e-05
2.702479999999999905e+02,9.618660276547421261e-04,1.258120069107280387e-03,7.528956264473388074e-05,7.419353386425300238e-05
2.702980000000000018e+02,9.583554047453411197e-04,1.256041245953261288e-03,7.488833761787967638e-05,7.336449964429576985e-05
2.703480000000000132e+02,9.547384401649957122e-04,1.253845867760906493e-03,7.448711666502569665e-05,7.245801162861745151e-05
2.703980000000000246e+02,9.510682388500791553e-04,1.251454280126829003e-03,7.418437020701302816e-05,7.146489849610454970e-05
2.704479999999999791e+02,9.474948852222704913e-04,1.248723865957170314e-03,7.398009824083126161e-05,7.050133038535437739e-05
2.704979999999999905e+02,9.439756117700085674e-04,1.245912809944409345e-03,7.357888949191124445e-05,7.007173024920481535e-05
2.705480000000000018e+02,9.403467833491857553e-04,1.243326038886247631e-03,7.307921438110212705e-05,6.975523611835201501e-05
2.705980000000000132e+02,9.366091612427825033e-04,1.240873536675669592e-03,7.257954332925566185e-05,6.940204966807829543e-05
2.706480000000000246e+02,9.327946067982689944e-04,1.238477736914012865e-03,7.207987633337331157e-05,6.900401861350337644e-05
2.706979999999999791e+02,9.289081614707203572e-04,1.236109204898078531e-03,7.158021339045823298e-05,6.856420006857942280e-05
2.707479999999999905e+02,9.249487768421693493e-04,1.233754905289323207e-03,7.108055449751663217e-05,6.808055596596328848e-05
2.707980000000000018e+02,9.209108055621255135e-04,1.231392204507575361e-03,7.058089965155836087e-05,6.753576269443997617e-05
2.708480000000000132e+02,9.167814937147997049e-04,1.228981411813369513e-03,7.008124884959439566e-05,6.693695351297823453e-05
2.708980000000000246e+02,9.125184941363455229e-04,1.226513587160564132e-03,6.958160208864007704e-05,6.633813734840360667e-05
2.709479999999999791e+02,9.081029242909157643e-04,1.223982450725838791e-03,6.918042978956640205e-05,6.573931420586967144e-05
2.709979999999999905e+02,9.036326743547364645e-04,1.221442145554939730e-03,6.897620237324745770e-05,6.524238771631156724e-05
2.710480000000000018e+02,8.991856883936287124e-04,1.218947932378198692e-03,6.887044941285237407e-05,6.474545425908887213e-05
2.710980000000000132e+02,8.948084171147569887e-04,1.216504321987499793e-03,6.886317090540665603e-05,6.424851383934081282e-05
