Energy,DeltaPara,DeltaPerp,BetaPara,BetaPerp
1.000000000000000000e+01,-6.541506763871310914e-01,-6.541506763871310914e-01,9.805855312925657596e-01,9.805855312925657596e-01
1.016169999999999973e+01,-6.345975415531471819e-01,-6.345975415531471819e-01,9.522316830179028413e-01,9.522316830179028413e-01
1.032610000000000028e+01,-4.091662924074548346e-01,-4.091662924074548346e-01,9.233737733809432857e-01,9.233737733809432857e-01
1.049310000000000009e+01,-2.791223238133918594e-01,-2.791223238133918594e-01,8.954007086554007788e-01,8.954007086554007788e-01
1.066280000000000072e+01,-1.891387020464958546e-01,-1.891387020464958546e-01,8.682749751079141820e-01,8.682749751079141820e-01
1.083530000000000015e+01,-1.215992032407242907e-01,-1.215992032407242907e-01,8.419646444876182079e-01,8.419646444876182079e-01
1.101050000000000040e+01,-6.855866537042580589e-02,-6.855866537042580589e-02,8.164644571552064356e-01,8.164644571552064356e-01
1.101060000000000016e+01,-6.853178905109826025e-02,-6.853178905109826025e-02,8.164502351818690995e-01,8.164502351818690995e-01
1.118859999999999921e+01,-2.560327010990838190e-02,-2.560327010990838190e-02,7.917274983017005274e-01,7.917274983017005274e-01
1.136960000000000015e+01,9.931262042317156452e-03,9.931262042317156452e-03,7.677360529360124364e-01,7.677360529360124364e-01
1.155349999999999966e+01,3.985434751171286483e-02,3.985434751171286483e-02,7.444780412665898961e-01,7.444780412665898961e-01
1.174039999999999928e+01,6.551242027453625660e-02,6.551242027453625660e-02,7.219202105491846488e-01,7.219202105491846488e-01
1.193030000000000079e+01,8.902597067646066120e-02,8.902597067646066120e-02,7.004189586379895305e-01,7.004189586379895305e-01
1.212320000000000064e+01,1.099953308703219002e-01,1.099953308703219002e-01,6.759087880842749030e-01,6.759087880842749030e-01
1.231930000000000014e+01,1.262478758797370704e-01,1.262478758797370704e-01,6.501731768273317780e-01,6.501731768273317780e-01
1.251859999999999928e+01,1.383651894862568399e-01,1.383651894862568399e-01,6.254371204377243698e-01,6.254371204377243698e-01
1.272100000000000009e+01,1.475330606090833330e-01,1.475330606090833330e-01,6.016736370967036285e-01,6.016736370967036285e-01
1.292680000000000007e+01,1.542681534623280559e-01,1.542681534623280559e-01,5.788233461806883140e-01,5.788233461806883140e-01
1.313589999999999947e+01,1.588722031926731726e-01,1.588722031926731726e-01,5.568637793609302333e-01,5.568637793609302333e-01
1.334830000000000005e+01,1.613244874461856326e-01,1.613244874461856326e-01,5.357620709675600112e-01,5.357620709675600112e-01
1.356419999999999959e+01,1.621717549597806729e-01,1.621717549597806729e-01,5.165195513226852331e-01,5.165195513226852331e-01
1.378359999999999985e+01,1.627170666125882237e-01,1.627170666125882237e-01,4.989350068084211220e-01,4.989350068084211220e-01
1.400660000000000061e+01,1.643702791534761010e-01,1.643702791534761010e-01,4.818565879750519865e-01,4.818565879750519865e-01
1.423310000000000031e+01,1.642190958462712291e-01,1.642190958462712291e-01,4.603849268290995389e-01,4.603849268290995389e-01
1.446330000000000027e+01,1.598184859491234289e-01,1.598184859491234289e-01,4.400408983568651067e-01,4.400408983568651067e-01
1.469720000000000049e+01,1.523627443828490247e-01,1.523627443828490247e-01,4.213569094657648173e-01,4.213569094657648173e-01
1.469730000000000025e+01,1.523564453979465438e-01,1.523564453979465438e-01,4.213492650714849574e-01,4.213492650714849574e-01
1.493500000000000050e+01,1.434170220901412329e-01,1.434170220901412329e-01,4.060198843271283220e-01,4.060198843271283220e-01
1.517650000000000077e+01,1.336923787498822125e-01,1.336923787498822125e-01,3.916161118943946029e-01,3.916161118943946029e-01
1.542200000000000060e+01,1.209078296167529903e-01,1.209078296167529903e-01,3.780832730084852100e-01,3.780832730084852100e-01
1.567140000000000022e+01,1.067093824201370417e-01,1.067093824201370417e-01,3.711073896039358000e-01,3.711073896039358000e-01
1.592489999999999917e+01,9.584125044654846770e-02,9.584125044654846770e-02,3.686220948716806278e-01,3.686220948716806278e-01
1.618250000000000099e+01,8.721267291167825175e-02,8.721267291167825175e-02,3.645693325400728990e-01,3.645693325400728990e-01
1.644419999999999860e+01,7.804844288776136008e-02,7.804844288776136008e-02,3.612291996559244822e-01,3.612291996559244822e-01
1.671020000000000039e+01,6.878370978824664694e-02,6.878370978824664694e-02,3.599029278828105305e-01,3.599029278828105305e-01
1.698049999999999926e+01,6.014152968277885342e-02,6.014152968277885342e-02,3.605642322577761738e-01,3.605642322577761738e-01
1.725509999999999877e+01,5.251937269039015643e-02,5.251937269039015643e-02,3.631980534471241362e-01,3.631980534471241362e-01
1.753419999999999845e+01,4.616651450834818871e-02,4.616651450834818871e-02,3.677901957862530491e-01,3.677901957862530491e-01
1.781779999999999831e+01,4.235559892489661887e-02,4.235559892489661887e-02,3.752247830312536725e-01,3.752247830312536725e-01
1.810600000000000165e+01,4.239955623060053663e-02,4.239955623060053663e-02,3.835858529201763290e-01,3.835858529201763290e-01
1.839880000000000138e+01,4.464168288051654360e-02,4.464168288051654360e-02,3.906861483596108520e-01,3.906861483596108520e-01
1.839890000000000114e+01,4.463919434127622959e-02,4.463919434127622959e-02,3.906889486103244380e-01,3.906889486103244380e-01
1.869640000000000057e+01,5.180135880810093213e-02,5.180135880810093213e-02,4.016622006702305070e-01,4.016622006702305070e-01
1.899879999999999924e+01,6.614367224057873806e-02,6.614367224057873806e-02,4.074160683629657331e-01,4.074160683629657331e-01
1.930610000000000070e+01,7.973546008866432000e-02,7.973546008866432000e-02,4.032171006214755327e-01,4.032171006214755327e-01
1.961840000000000117e+01,9.137612066245297260e-02,9.137612066245297260e-02,4.004310834386891615e-01,4.004310834386891615e-01
1.993570000000000064e+01,1.044970456211111592e-01,1.044970456211111592e-01,3.939328926960645183e-01,3.939328926960645183e-01
2.025809999999999889e+01,1.141719059109371909e-01,1.141719059109371909e-01,3.808392564430231886e-01,3.808392564430231886e-01
2.025819999999999865e+01,1.141730940234718800e-01,1.141730940234718800e-01,3.808356124565040468e-01,3.808356124565040468e-01
2.058579999999999899e+01,1.186365084283577814e-01,1.186365084283577814e-01,3.691756578195390381e-01,3.691756578195390381e-01
2.091870000000000118e+01,1.217209995156750130e-01,1.217209995156750130e-01,3.602068407592609600e-01,3.602068407592609600e-01
2.091880000000000095e+01,1.217218328461838195e-01,1.217218328461838195e-01,3.602042645580819102e-01,3.602042645580819102e-01
