Energy DeltaPerp DeltaPara BetaPerp BetaPara
1.000000000000000000e+01 -5.203194080790677495e-02 -5.388974044991009377e-02 2.662516376810697416e-01 2.662516376810697416e-01
1.016169999999999973e+01 -7.093129301488254601e-02 -7.273050851359516566e-02 2.687961165904032002e-01 2.687961165904032002e-01
1.032610000000000028e+01 -2.894409723962482542e-02 -3.068654947470354777e-02 2.711282685497310996e-01 2.711282685497310996e-01
1.049310000000000009e+01 -1.072944970000412092e-02 -1.241695091024806220e-02 2.736273034926980929e-01 2.736273034926980929e-01
1.066280000000000072e+01 -2.019902864607316367e-03 -3.654188505409343771e-03 2.762890630586470886e-01 2.762890630586470886e-01
1.083530000000000015e+01 1.551697685949339316e-03 -3.103658241209589219e-05 2.794014537979643276e-01 2.794014537979643276e-01
1.101060000000000016e+01 2.461933557266076083e-03 9.291249028241887033e-04 2.835283285981040624e-01 2.835283285981040624e-01
1.118859999999999921e+01 2.081008168976477418e-03 5.965119806014454028e-04 2.878830420901279941e-01 2.878830420901279941e-01
1.136960000000000015e+01 8.384295525647855046e-04 -5.992482502839506075e-04 2.924538836160122668e-01 2.924538836160122668e-01
1.155349999999999966e+01 -8.743087953839589642e-04 -2.266653773010523197e-03 2.972530515805674733e-01 2.972530515805674733e-01
1.174039999999999928e+01 -2.743477319037862776e-03 -4.091915300348659794e-03 3.022779646179255542e-01 3.022779646179255542e-01
1.193030000000000079e+01 -4.193477610267745334e-03 -5.499400549157556876e-03 3.076361891776455693e-01 3.076361891776455693e-01
1.212320000000000064e+01 -5.485393626382581954e-03 -6.750159137699633313e-03 3.120879490318363425e-01 3.120879490318363425e-01
1.231930000000000014e+01 -7.032222921572396819e-03 -8.257114276032845313e-03 3.166431557617664372e-01 3.166431557617664372e-01
1.251859999999999928e+01 -8.463995675761257914e-03 -9.650266930579127003e-03 3.213665332578996559e-01 3.213665332578996559e-01
1.272100000000000009e+01 -9.567556374564705271e-03 -1.071644983680093699e-02 3.262701002403377570e-01 3.262701002403377570e-01
1.292680000000000007e+01 -1.014593748111277879e-02 -1.125861118721632054e-02 3.313400838645067514e-01 3.313400838645067514e-01
1.313589999999999947e+01 -9.903057613761935205e-03 -1.098066047760208261e-02 3.365885530848411467e-01 3.365885530848411467e-01
1.334830000000000005e+01 -7.694292884461620408e-03 -8.737945406329498260e-03 3.420199796581813168e-01 3.420199796581813168e-01
1.356419999999999959e+01 -4.988603716757257153e-03 -5.999367998720374871e-03 3.438684514817061944e-01 3.438684514817061944e-01
1.378359999999999985e+01 -3.566693937909716158e-03 -4.545607487334106349e-03 3.453061121727487026e-01 3.453061121727487026e-01
1.400660000000000061e+01 -2.613636317124283341e-03 -3.561698123172732291e-03 3.467631693222728573e-01 3.467631693222728573e-01
1.423310000000000031e+01 -1.726967951933492578e-03 -2.645166469748814510e-03 3.482485612037439227e-01 3.482485612037439227e-01
1.446330000000000027e+01 -4.209549345478860402e-04 -1.310228505069610571e-03 3.497555067662727057e-01 3.497555067662727057e-01
1.469730000000000025e+01 1.328277826169111742e-03 4.670247541004466036e-04 3.501928933429360180e-01 3.501928933429360180e-01
1.493500000000000050e+01 2.102236630403430794e-03 1.268109338307252341e-03 3.487340432151903591e-01 3.487340432151903591e-01
1.517650000000000077e+01 1.179930009959345022e-03 3.720672021575947147e-04 3.472873831044741011e-01 3.472873831044741011e-01
1.542200000000000060e+01 -1.490161066433376858e-03 -2.272579028262256516e-03 3.458471729013119500e-01 3.458471729013119500e-01
1.567140000000000022e+01 -5.609279869273765817e-03 -6.367063527600402666e-03 3.459513089947376940e-01 3.459513089947376940e-01
1.590000000000000036e+01 -9.889120986916086556e-03 -1.062533551622677104e-02 3.469587422374408314e-01 3.469587422374408314e-01
1.592489999999999917e+01 -1.036391107410403190e-02 -1.109783214442900713e-02 3.470563742232947169e-01 3.470563742232947169e-01
1.610000000000000142e+01 -1.454671574408001634e-02 -1.526480827306029783e-02 3.473388775054478406e-01 3.473388775054478406e-01
1.618250000000000099e+01 -1.692805356582176984e-02 -1.763886578043647943e-02 3.474395898261240512e-01 3.474395898261240512e-01
1.644419999999999860e+01 -3.336101762260535591e-02 -3.404945643822600981e-02 3.451800144979660367e-01 3.451800144979660367e-01
1.671020000000000039e+01 -7.713441373176185833e-02 -7.780118022026283331e-02 3.554813735071429837e-01 3.554813735071429837e-01
1.698049999999999926e+01 -5.930124176577709211e-02 -5.994702064134475178e-02 4.720122238194582320e-01 4.720122238194582320e-01
1.725509999999999877e+01 5.550504676723126696e-03 4.925045321077859035e-03 4.628565429338468706e-01 4.628565429338468706e-01
1.753419999999999845e+01 3.395917851681343885e-02 3.335340115837249347e-02 4.545490606095205499e-01 4.545490606095205499e-01
1.781779999999999831e+01 5.434867558416699856e-02 5.376195767154570704e-02 4.468955358313053683e-01 4.468955358313053683e-01
1.810600000000000165e+01 7.057079604600113854e-02 7.000253647895506026e-02 4.389198375255641826e-01 4.389198375255641826e-01
1.839890000000000114e+01 8.422926136305636247e-02 8.367887947205043808e-02 4.319615219351303770e-01 4.319615219351303770e-01
