Energy DeltaPerp DeltaPara BetaPerp BetaPara
1.869640000000000057e+01 9.761388637917370326e-02 9.708080962213876119e-02 4.260352289211575827e-01 4.260352289211575827e-01
1.899879999999999924e+01 1.114970963791466346e-01 1.109807832427930213e-01 4.187543662885407358e-01 4.187543662885407358e-01
1.930610000000000070e+01 1.240640433869445586e-01 1.235639649117673960e-01 4.088961706494640969e-01 4.088961706494640969e-01
1.961840000000000117e+01 1.352539517021474347e-01 1.347695966089456354e-01 3.994819834198777841e-01 3.994819834198777841e-01
1.993570000000000064e+01 1.461295103580211863e-01 1.456603795894658437e-01 3.891115542686625073e-01 3.891115542686625073e-01
2.025819999999999865e+01 1.561980248328939946e-01 1.557436406384186678e-01 3.774227895062114424e-01 3.774227895062114424e-01
2.058579999999999899e+01 1.646550759981406931e-01 1.642149675961009081e-01 3.643380965282597694e-01 3.643380965282597694e-01
2.091880000000000095e+01 1.710776129687769376e-01 1.706513337320038071e-01 3.509787247688438416e-01 3.509787247688438416e-01
2.125710000000000122e+01 1.759933617946991824e-01 1.755804715702252994e-01 3.381900301507869133e-01 3.381900301507869133e-01
2.160089999999999932e+01 1.799806179156577257e-01 1.795806949734455871e-01 3.258244028586507191e-01 3.258244028586507191e-01
2.195029999999999859e+01 1.831261975605980585e-01 1.827388337738304058e-01 3.137020700171122556e-01 3.137020700171122556e-01
2.230529999999999902e+01 1.855493982533723551e-01 1.851741952231964194e-01 3.020865250313790051e-01 3.020865250313790051e-01
2.266610000000000014e+01 1.875844098956013506e-01 1.872209854539312046e-01 2.909515537618935221e-01 2.909515537618935221e-01
2.303269999999999840e+01 1.895796504137625682e-01 1.892276314352464572e-01 2.800614391255497604e-01 2.800614391255497604e-01
2.340530000000000044e+01 1.909433553456557631e-01 1.906023836644385461e-01 2.683837941830451990e-01 2.683837941830451990e-01
2.378379999999999939e+01 1.913483043958200402e-01 1.910180275288400065e-01 2.572493591097065324e-01 2.572493591097065324e-01
2.416850000000000165e+01 1.912399093696096342e-01 1.909199916737621128e-01 2.464430025741549124e-01 2.464430025741549124e-01
2.455940000000000012e+01 1.905772787863818096e-01 1.902673925084491235e-01 2.358880812597743404e-01 2.358880812597743404e-01
2.495660000000000167e+01 1.894014532827622277e-01 1.891012810654494891e-01 2.258090086157441834e-01 2.258090086157441834e-01
2.536029999999999873e+01 1.878704654872295488e-01 1.875797022765654243e-01 2.161926370815150100e-01 2.161926370815150100e-01
2.577049999999999841e+01 1.860864693632359457e-01 1.858048172948645882e-01 2.070169456644898043e-01 2.070169456644898043e-01
2.618730000000000047e+01 1.841756559162194828e-01 1.839028264878511676e-01 1.982385568867428005e-01 1.982385568867428005e-01
2.661090000000000089e+01 1.820225078897483584e-01 1.817582236131709827e-01 1.895532319639020580e-01 1.895532319639020580e-01
2.704129999999999967e+01 1.795413675612909932e-01 1.792853575368262564e-01 1.812792027027285702e-01 1.812792027027285702e-01
2.747860000000000014e+01 1.768628118788870551e-01 1.766148136745180897e-01 1.733966633941446678e-01 1.733966633941446678e-01
2.792310000000000159e+01 1.740375220828852265e-01 1.737972848667167225e-01 1.658837524508630368e-01 1.658837524508630368e-01
2.837470000000000070e+01 1.711028637583926204e-01 1.708701408962490509e-01 1.587241939558081127e-01 1.587241939558081127e-01
2.883370000000000033e+01 1.680865177268827115e-01 1.678610733767048890e-01 1.518985930454593292e-01 1.518985930454593292e-01
2.930000000000000071e+01 1.650163699335703282e-01 1.647979723184130330e-01 1.453927605816945634e-01 1.453927605816945634e-01
2.977390000000000114e+01 1.619312932786413917e-01 1.617197206711889490e-01 1.391887520378599086e-01 1.391887520378599086e-01
3.025550000000000139e+01 1.588016824810426497e-01 1.585967197688337715e-01 1.331878294721998979e-01 1.331878294721998979e-01
3.074490000000000123e+01 1.556169132568071267e-01 1.554183517612925391e-01 1.274873578119599948e-01 1.274873578119599948e-01
3.124210000000000065e+01 1.524234009338870932e-01 1.522310370181046979e-01 1.220485469036801662e-01 1.220485469036801662e-01
3.174749999999999872e+01 1.492264602104239057e-01 1.490400999755696343e-01 1.168570733604628320e-01 1.168570733604628320e-01
3.226089999999999947e+01 1.460391654964817432e-01 1.458586173147787268e-01 1.119074345309055418e-01 1.119074345309055418e-01
3.278269999999999840e+01 1.428712011857415365e-01 1.426962825125067669e-01 1.071858329675009630e-01 1.071858329675009630e-01
3.331300000000000239e+01 1.397321852666211506e-01 1.395627188626050730e-01 1.026810042732059641e-01 1.026810042732059641e-01
3.385179999999999723e+01 1.366310954270322231e-01 1.364669082763809160e-01 9.838363028522327525e-02 9.838363028522327525e-02
3.439929999999999666e+01 1.335747103734930830e-01 1.334156355628924040e-01 9.428279580483478473e-02 9.428279580483478473e-02
3.495570000000000022e+01 1.305606933264910063e-01 1.304065697388122058e-01 9.036896848571288055e-02 9.036896848571288055e-02
3.552109999999999701e+01 1.276354798023640325e-01 1.274861510055554648e-01 8.668790941343103296e-02 8.668790941343103296e-02
3.609559999999999746e+01 1.249123354046272200e-01 1.247676495447387207e-01 8.318029715035973881e-02 8.318029715035973881e-02
3.667940000000000111e+01 1.222634872472100065e-01 1.221232976941204057e-01 7.953940132307811550e-02 7.953940132307811550e-02
3.727270000000000039e+01 1.195257405069720114e-01 1.193899056078267379e-01 7.598819553194569032e-02 7.598819553194569032e-02
3.787550000000000239e+01 1.167558830355280852e-01 1.166242645201182732e-01 7.260033234504988109e-02 7.260033234504988109e-02
3.848819999999999908e+01 1.140011989447694551e-01 1.138736645720428431e-01 6.936747660276054717e-02 6.936747660276054717e-02
3.911070000000000135e+01 1.113011052641055959e-01 1.111775252605714803e-01 6.628298457689882350e-02 6.628298457689882350e-02
3.974320000000000164e+01 1.086448022513732958e-01 1.085250512495726377e-01 6.326674628551122448e-02 6.326674628551122448e-02
4.038609999999999900e+01 1.059756639231921593e-01 1.058596218913706588e-01 6.032899764897690920e-02 6.032899764897690920e-02
4.103929999999999723e+01 1.032967062837945732e-01 1.031842554471402301e-01 5.753321754979769803e-02 5.753321754979769803e-02
4.170309999999999917e+01 1.006352127978771410e-01 1.005262398307279897e-01 5.486979770705219250e-02 5.486979770705219250e-02
4.237760000000000105e+01 9.800038900741393777e-02 9.789478379432781097e-02 5.233486813422845441e-02 5.233486813422845441e-02
4.306300000000000239e+01 9.539781496057350707e-02 9.529547100215264577e-02 4.992155147322296926e-02 4.992155147322296926e-02
4.375950000000000273e+01 9.282874344335413641e-02 9.272955770872409742e-02 4.762357710417611245e-02 4.762357710417611245e-02
4.446730000000000160e+01 9.028784323796429367e-02 9.019171602641673502e-02 4.543566893242544091e-02 4.543566893242544091e-02
4.518650000000000233e+01 8.775432203198202386e-02 8.766115644087367487e-02 4.336424544683470383e-02 4.336424544683470383e-02
4.591740000000000066e+01 8.529153978763041877e-02 8.520124243178577028e-02 4.150465129503081579e-02 4.150465129503081579e-02
4.665999999999999659e+01 8.294729164199715621e-02 8.285977136578753788e-02 3.972708305817732738e-02 3.972708305817732738e-02
4.741470000000000340e+01 8.068772774320527585e-02 8.060289704073134165e-02 3.802757257089425802e-02 3.802757257089425802e-02
4.818160000000000309e+01 7.851853410679299206e-02 7.843630788406032173e-02 3.640267466114607831e-02 3.640267466114607831e-02
4.896090000000000231e+01 7.643819723031958224e-02 7.635849308648667844e-02 3.481114389006427501e-02 3.481114389006427501e-02
4.975280000000000058e+01 7.438779338581807954e-02 7.431053151694765047e-02 3.320911820721691304e-02 3.320911820721691304e-02
5.055760000000000076e+01 7.234132027045347968e-02 7.226642366507164683e-02 3.168102576107964530e-02 3.168102576107964530e-02
5.137530000000000285e+01 7.032444790958208847e-02 7.025184138776763287e-02 3.022385357570334455e-02 3.022385357570334455e-02
5.220620000000000260e+01 6.834046808856017452e-02 6.827007910780749644e-02 2.883433333511283350e-02 2.883433333511283350e-02
5.305060000000000286e+01 6.638121289027337779e-02 6.631297141415469498e-02 2.750925631875463309e-02 2.750925631875463309e-02
5.390870000000000317e+01 6.445827240394254309e-02 6.439211054394054778e-02 2.628098561537108024e-02 2.628098561537108024e-02
5.478059999999999974e+01 6.260099089065339351e-02 6.253684261248568244e-02 2.513545391776516105e-02 2.513545391776516105e-02
5.566669999999999874e+01 6.080974439382529767e-02 6.074754613908486117e-02 2.404018303767786399e-02 2.404018303767786399e-02
5.656700000000000017e+01 5.907387876890417278e-02 5.901356848959975199e-02 2.299317139837066606e-02 2.299317139837066606e-02
5.748199999999999932e+01 5.738970575279916941e-02 5.733122390665890133e-02 2.199207907969816592e-02 2.199207907969816592e-02
5.841170000000000329e+01 5.575634856017436247e-02 5.569963701040971105e-02 2.103512719878855228e-02 2.103512719878855228e-02
5.935640000000000072e+01 5.417369867698048486e-02 5.411870124328472392e-02 2.012012898481621223e-02 2.012012898481621223e-02
6.031649999999999778e+01 5.264663840859894889e-02 5.259330094880351053e-02 1.924523784938450902e-02 1.924523784938450902e-02
6.129209999999999781e+01 5.117656777790496186e-02 5.112483759241515102e-02 1.839166043480977564e-02 1.839166043480977564e-02
6.228340000000000032e+01 4.973541967199892472e-02 4.968524564395697396e-02 1.753596213941152962e-02 1.753596213941152962e-02
6.329079999999999728e+01 4.831025222348128700e-02 4.826158506642361928e-02 1.672032683599324054e-02 1.672032683599324054e-02
6.431449999999999534e+01 4.691408863907288451e-02 4.686688052046068809e-02 1.594264977216333645e-02 1.594264977216333645e-02
6.535469999999999402e+01 4.554960904662561094e-02 4.550381354984184973e-02 1.520147532210969557e-02 1.520147532210969557e-02
6.641179999999999950e+01 4.421775888375516217e-02 4.417333122350428770e-02 1.449503994432104099e-02 1.449503994432104099e-02
6.748590000000000089e+01 4.291908817946717136e-02 4.287598475666379999e-02 1.382177217211274199e-02 1.382177217211274199e-02
6.857750000000000057e+01 4.165322071342286020e-02 4.161139956430028042e-02 1.317998633504440485e-02 1.317998633504440485e-02
6.968670000000000186e+01 4.041965827009554729e-02 4.037907853088701371e-02 1.256828143809291844e-02 1.256828143809291844e-02
7.081380000000000052e+01 3.921876532614138738e-02 3.917938743367727072e-02 1.198701178079851319e-02 1.198701178079851319e-02
7.195910000000000650e+01 3.805104857395299328e-02 3.801283421658138706e-02 1.143331922182403218e-02 1.143331922182403218e-02
7.312300000000000466e+01 3.691552586833869720e-02 3.687843803397686249e-02 1.090540321294273390e-02 1.090540321294273390e-02
7.430570000000000164e+01 3.581144903616528818e-02 3.577545177047713326e-02 1.040205977485782543e-02 1.040205977485782543e-02
7.550759999999999650e+01 3.473804604905158383e-02 3.470310460351772736e-02 9.922154366658194127e-03 9.922154366658194127e-03
7.672889999999999588e+01 3.369477776117187767e-02 3.366085837387325364e-02 9.464591442174097313e-03 9.464591442174097313e-03
7.796989999999999554e+01 3.268095311842023065e-02 3.264802307073414595e-02 9.028285560464215445e-03 9.028285560464215445e-03
7.923099999999999454e+01 3.169584275393889927e-02 3.166387040873183678e-02 8.612278157416282387e-03 8.612278157416282387e-03
8.051250000000000284e+01 3.073884557411312932e-02 3.070780025674598943e-02 8.215598334934471822e-03 8.215598334934471822e-03
8.181470000000000198e+01 2.980932349949410795e-02 2.977917546603310595e-02 7.837320550868914770e-03 7.837320550868914770e-03
8.313800000000000523e+01 2.890659804439310587e-02 2.887731851520061038e-02 7.476577821182082279e-03 7.476577821182082279e-03
8.448269999999999413e+01 2.803001536388510101e-02 2.800157642120369716e-02 7.132467606978138731e-03 7.132467606978138731e-03
8.584910000000000707e+01 2.717895014955280103e-02 2.715132471027559280e-02 6.804340194014687863e-03 6.804340194014687863e-03
8.723770000000000380e+01 2.635274635795396836e-02 2.632590825806917917e-02 6.491402271111662049e-03 6.491402271111662049e-03
8.864870000000000516e+01 2.555092599731261307e-02 2.552484978739468641e-02 6.192987973059820711e-03 6.192987973059820711e-03
9.008249999999999602e+01 2.477292435389518918e-02 2.474758538655980750e-02 5.908410359242684436e-03 5.908410359242684436e-03
9.153950000000000387e+01 2.401822416564826021e-02 2.399359856295593674e-02 5.637017869356427367e-03 5.637017869356427367e-03
9.302009999999999934e+01 2.328637948090781298e-02 2.326244410359875475e-02 5.378186446573551653e-03 5.378186446573551653e-03
9.452460000000000662e+01 2.257710537452756530e-02 2.255383774956840059e-02 5.131334384926300451e-03 5.131334384926300451e-03
9.605349999999999966e+01 2.189031874784989548e-02 2.186769713161904397e-02 4.895904353182602489e-03 4.895904353182602489e-03
9.760710000000000264e+01 2.122746649110366160e-02 2.120546975615551430e-02 4.671353814978826229e-03 4.671353814978826229e-03
9.918580000000000041e+01 2.058888469149551537e-02 2.056749234654261724e-02 4.452198664470549856e-03 4.452198664470549856e-03
1.007900000000000063e+02 1.996576165683206297e-02 1.994495382242531673e-02 4.230804611367647815e-03 4.230804611367647815e-03
1.024200000000000017e+02 1.935384391122801570e-02 1.933360126272560403e-02 4.020447008055368782e-03 4.020447008055368782e-03
1.040769999999999982e+02 1.875676149837931378e-02 1.873706553990228674e-02 3.820547881139247596e-03 3.820547881139247596e-03
1.057600000000000051e+02 1.817567284798463426e-02 1.815650516702285722e-02 3.630651789513804958e-03 3.630651789513804958e-03
1.074710000000000036e+02 1.761014962517148605e-02 1.759149283240683120e-02 3.450169673442245438e-03 3.450169673442245438e-03
1.092090000000000032e+02 1.706059001530411262e-02 1.704242679980869438e-02 3.278713871745618340e-03 3.278713871745618340e-03
1.109749999999999943e+02 1.652658329923279573e-02 1.650889701579490512e-02 3.115808314846412689e-03 3.115808314846412689e-03
1.127699999999999960e+02 1.600772587140045222e-02 1.599050048890099732e-02 2.960982563422995782e-03 2.960982563422995782e-03
1.145939999999999941e+02 1.550385893164346260e-02 1.548707874772059512e-02 2.813860162439442598e-03 2.813860162439442598e-03
1.164479999999999933e+02 1.501453502800698808e-02 1.499818489891044035e-02 2.674043269413239193e-03 2.674043269413239193e-03
1.183310000000000031e+02 1.453980346258270349e-02 1.452386833021486294e-02 2.541236465608323700e-03 2.541236465608323700e-03
1.202450000000000045e+02 1.407892322908557009e-02 1.406338877931987211e-02 2.415004171674745709e-03 2.415004171674745709e-03
1.221899999999999977e+02 1.363169142951523027e-02 1.361654362066130886e-02 2.295055791946884211e-03 2.295055791946884211e-03
1.241659999999999968e+02 1.319787783348097022e-02 1.318310289868626119e-02 2.181092260892294674e-03 2.181092260892294674e-03
1.261749999999999972e+02 1.277682261283769743e-02 1.276240740945224460e-02 2.072728797302649060e-03 2.072728797302649060e-03
1.282150000000000034e+02 1.236870077230947662e-02 1.235463204713022588e-02 1.969803348974679888e-03 1.969803348974679888e-03
1.302889999999999873e+02 1.197273075876984817e-02 1.195899600280976062e-02 1.871973361975912435e-03 1.871973361975912435e-03
1.323969999999999914e+02 1.158909743506061039e-02 1.157568433467205324e-02 1.778994245554666983e-03 1.778994245554666983e-03
1.345380000000000109e+02 1.121661718026144110e-02 1.120351347711968405e-02 1.689027497512444066e-03 1.689027497512444066e-03
1.367139999999999986e+02 1.085457152962429790e-02 1.084176544880330675e-02 1.604760877220040962e-03 1.604760877220040962e-03
1.389250000000000114e+02 1.050375608687514721e-02 1.049123602224964411e-02 1.524707901989907390e-03 1.524707901989907390e-03
1.411719999999999970e+02 1.016353854928079246e-02 1.015129317931550389e-02 1.448647827947435393e-03 1.448647827947435393e-03
1.434559999999999889e+02 9.833545847891417627e-03 9.821564103990551922e-03 1.376385365052506604e-03 1.376385365052506604e-03
1.457760000000000105e+02 9.513697659216797248e-03 9.501968483466929211e-03 1.307748744839039691e-03 1.307748744839039691e-03
1.481339999999999861e+02 9.203494281982794317e-03 9.192006944639499397e-03 1.242535011220215419e-03 1.242535011220215419e-03
1.505300000000000011e+02 8.902740007630617625e-03 8.891483863086184491e-03 1.180583792382832332e-03 1.180583792382832332e-03
1.529639999999999986e+02 8.611216367532315008e-03 8.600180845470508512e-03 1.121736908035959272e-03 1.121736908035959272e-03
1.554389999999999930e+02 8.328383891918192047e-03 8.317558732724513945e-03 1.065811359347630487e-03 1.065811359347630487e-03
1.579530000000000030e+02 8.054289229586951079e-03 8.043664021614094911e-03 1.012688504780624721e-03 1.012688504780624721e-03
1.605070000000000050e+02 7.788616806106687419e-03 7.778181228580246208e-03 9.622324250512477107e-04 9.622324250512477107e-04
1.631030000000000086e+02 7.530982881581557188e-03 7.520726731982755806e-03 9.142805968135737753e-04 9.142805968135737753e-04
1.657419999999999902e+02 7.281141269116359060e-03 7.271054340422427979e-03 8.687159027746016492e-04 8.687159027746016492e-04
1.684219999999999970e+02 7.039117100619440848e-03 7.029188967180568723e-03 8.254346472806588664e-04 8.254346472806588664e-04
1.711459999999999866e+02 6.804487609711334928e-03 6.794707897167814523e-03 7.843066627275082020e-04 7.843066627275082020e-04
1.739149999999999920e+02 6.577085002923749660e-03 6.567443202364513233e-03 7.452219987015751192e-04 7.452219987015751192e-04
1.767270000000000039e+02 6.357044693424239966e-03 6.347529974110826048e-03 7.081055869834401500e-04 7.081055869834401500e-04
1.795860000000000127e+02 6.144432771655773153e-03 6.135034199871682720e-03 6.728291629859186034e-04 6.728291629859186034e-04
1.824910000000000139e+02 5.939349518136214506e-03 5.930055758298782322e-03 6.379199740161241869e-04 6.379199740161241869e-04
1.854420000000000073e+02 5.739967487841065620e-03 5.730766781982306150e-03 6.018247966199712041e-04 6.018247966199712041e-04
1.884420000000000073e+02 5.544289835294042255e-03 5.535169995534441716e-03 5.661199314211724136e-04 5.661199314211724136e-04
1.914890000000000043e+02 5.352659974809528300e-03 5.343608129484588541e-03 5.325112292587809567e-04 5.325112292587809567e-04
1.945869999999999891e+02 5.165482432720766223e-03 5.156485035898496563e-03 5.008882550854925567e-04 5.008882550854925567e-04
1.977340000000000089e+02 4.983012750267781267e-03 4.974055297057479105e-03 4.711515317823985549e-04 4.711515317823985549e-04
2.009319999999999879e+02 4.805123553196339985e-03 4.796190460527629575e-03 4.431787955783268685e-04 4.431787955783268685e-04
2.041819999999999879e+02 4.631692475255679182e-03 4.622766818771534454e-03 4.168649758844429425e-04 4.168649758844429425e-04
2.074850000000000136e+02 4.462563332000868757e-03 4.453626545797171807e-03 3.921134503429448792e-04 3.921134503429448792e-04
2.108400000000000034e+02 4.297643605939118622e-03 4.288675132635501146e-03 3.688378714228366198e-04 3.688378714228366198e-04
2.142510000000000048e+02 4.136568596329506797e-03 4.127545369971972154e-03 3.469376652281269398e-04 3.469376652281269398e-04
2.177160000000000082e+02 3.979213639430205507e-03 3.970109557425734355e-03 3.263416740066583856e-04 3.263416740066583856e-04
2.212369999999999948e+02 3.825264856920101379e-03 3.816049944963918923e-03 3.070666119965964028e-04 3.070666119965964028e-04
2.248160000000000025e+02 3.674527863342673308e-03 3.665167207104584341e-03 2.891205538941577771e-04 2.891205538941577771e-04
2.284519999999999982e+02 3.526802661839473305e-03 3.517255143135626563e-03 2.722275043869474046e-04 2.722275043869474046e-04
2.321469999999999914e+02 3.381581474244060945e-03 3.371797752950593530e-03 2.563213080291117129e-04 2.563213080291117129e-04
2.359019999999999868e+02 3.238336358530052514e-03 3.228256248879068056e-03 2.413457040098499699e-04 2.413457040098499699e-04
2.397170000000000130e+02 3.096507885206024446e-03 3.086056651140502843e-03 2.274273607407332814e-04 2.274273607407332814e-04
2.435949999999999989e+02 2.955827672589286196e-03 2.944910106539342255e-03 2.149385300008539354e-04 2.149385300008539354e-04
2.475349999999999966e+02 2.815800871567352825e-03 2.804293164246633458e-03 2.029304033087934089e-04 2.029304033087934089e-04
2.515380000000000109e+02 2.674607172152010381e-03 2.662343182399501927e-03 1.908694581160532626e-04 1.908694581160532626e-04
2.556069999999999993e+02 2.530291260388404899e-03 2.517039403433617237e-03 1.795330470844813914e-04 1.795330470844813914e-04
2.597409999999999854e+02 2.380818524794312864e-03 2.366242660871759832e-03 1.688787163221430049e-04 1.688787163221430049e-04
2.639420000000000073e+02 2.222535600383277257e-03 2.206118123562196900e-03 1.588645503071722971e-04 1.588645503071722971e-04
2.682110000000000127e+02 2.049109565468727745e-03 2.029990993489835284e-03 1.494517208856196067e-04 1.494517208856196067e-04
2.700000000000000000e+02 1.969864439289501033e-03 1.949227094345783564e-03 1.457427110359969010e-04 1.457427110359969010e-04
2.700690710710709936e+02 1.966648283281169016e-03 1.945946190613696749e-03 1.456681721942990504e-04 1.456681721942990504e-04
2.701391421421420205e+02 1.963408335963671633e-03 1.942640045019764210e-03 1.455926126070530824e-04 1.455926126070530824e-04
2.702092132132129905e+02 1.960172331517198285e-03 1.939337319520655122e-03 1.455171117948721160e-04 1.455171117948721160e-04
2.702792842842840173e+02 1.956936154766664594e-03 1.936033892876025484e-03 1.454416696968131471e-04 1.454416696968131471e-04
2.703493553553549873e+02 1.953697812550919677e-03 1.932727765768742874e-03 1.453662862520124267e-04 1.453662862520124267e-04
2.704194264264260141e+02 1.950456096051547293e-03 1.929417723124511120e-03 1.452909613996848106e-04 1.452909613996848106e-04
2.704894974974969841e+02 1.947210176380374282e-03 1.926102929702505368e-03 1.452156950791240572e-04 1.452156950791240572e-04
2.705595685685680110e+02 1.943959437998664993e-03 1.922782763512331534e-03 1.451404872297023673e-04 1.451404872297023673e-04
2.706296396396389810e+02 1.940703397123034546e-03 1.919456734215137846e-03 1.450653377908706001e-04 1.450653377908706001e-04
2.706997107107100078e+02 1.937441656941166213e-03 1.916124438339469058e-03 1.449902467021577589e-04 1.449902467021577589e-04
2.707697817817809778e+02 1.934173880946384819e-03 1.912785532614800317e-03 1.449152139031712621e-04 1.449152139031712621e-04
2.708398528528520046e+02 1.930899776046260266e-03 1.909439717075305789e-03 1.448402393335965633e-04 1.448402393335965633e-04
2.709099239239229746e+02 1.927619081341012692e-03 1.906086723838056529e-03 1.447653229331971245e-04 1.447653229331971245e-04
2.709799949949950246e+02 1.924331560365825184e-03 1.902726309342759074e-03 1.446904646418130879e-04 1.446904646418130879e-04
2.710500660660659946e+02 1.921036995554242007e-03 1.899358248810824020e-03 1.446156643993658567e-04 1.446156643993658567e-04
2.711201371371370215e+02 1.917735184178387658e-03 1.895982332186267692e-03 1.445409221458509392e-04 1.445409221458509392e-04
2.711902082082079914e+02 1.914425935300779731e-03 1.892598361084031492e-03 1.444662378213426384e-04 1.444662378213426384e-04
2.712602792792790183e+02 1.911109067438457191e-03 1.889206146451595687e-03 1.443916113659924250e-04 1.443916113659924250e-04
2.713303503503499883e+02 1.907784406740729464e-03 1.885805506743041572e-03 1.443170427200293174e-04 1.443170427200293174e-04
2.714004214214210151e+02 1.904451785548353293e-03 1.882396266477918013e-03 1.442425318237592041e-04 1.442425318237592041e-04
2.714704924924919851e+02 1.901111041230841040e-03 1.878978255073640276e-03 1.441680786175652499e-04 1.441680786175652499e-04
2.715405635635630119e+02 1.897762015245180872e-03 1.875551305903449748e-03 1.440936830419073541e-04 1.440936830419073541e-04
