Energy	DeltaPara	BetaPara	DeltaPerp	BetaPerp
1.000000000000000000e+01	-2.392426697925805479e-01	3.324366808056026246e-01	-2.553798319479678725e-01	3.324366808056026246e-01
1.016169999999999973e+01	-2.582726795961584609e-01	3.383170070045070643e-01	-2.739009365768156345e-01	3.383170070045070643e-01
1.032610000000000028e+01	-2.001335105983588769e-01	3.442875680960710838e-01	-2.152686799048935951e-01	3.442875680960710838e-01
1.049310000000000009e+01	-1.711077325641270352e-01	3.503879632011376311e-01	-1.857655566380395362e-01	3.503879632011376311e-01
1.066280000000000072e+01	-1.536426510707320503e-01	3.566164247629612927e-01	-1.678382053553292286e-01	3.566164247629612927e-01
1.083530000000000015e+01	-1.423842401414494307e-01	3.632730219573395147e-01	-1.561319810742421987e-01	3.632730219573395147e-01
1.101060000000000016e+01	-1.344540343872749066e-01	3.709481406872008336e-01	-1.477680845061984938e-01	3.709481406872008336e-01
1.118859999999999921e+01	-1.284817356234382035e-01	3.788270688118533513e-01	-1.413761079156128087e-01	3.788270688118533513e-01
1.136960000000000015e+01	-1.239414287034269757e-01	3.875925996045154198e-01	-1.364291018517588272e-01	3.875925996045154198e-01
1.155349999999999966e+01	-1.193338034121266128e-01	3.980382982059213481e-01	-1.314276820872730400e-01	3.980382982059213481e-01
1.174039999999999928e+01	-1.136105719945935538e-01	4.088042037133017836e-01	-1.253230419950712993e-01	4.088042037133017836e-01
1.193030000000000079e+01	-1.057717215086539653e-01	4.199382175684012175e-01	-1.171148743689096466e-01	4.199382175684012175e-01
1.212320000000000064e+01	-9.694852868432803084e-02	4.277574358778772901e-01	-1.079341576448527296e-01	4.277574358778772901e-01
1.231930000000000014e+01	-8.883381504827295161e-02	4.348499568621715938e-01	-9.947306754165420595e-02	4.348499568621715938e-01
1.251859999999999928e+01	-8.069088769066389000e-02	4.418398338166885653e-01	-9.099465737981257685e-02	4.418398338166885653e-01
1.272100000000000009e+01	-7.145528162423639418e-02	4.488274601399210861e-01	-8.143436010008617276e-02	4.488274601399210861e-01
1.292680000000000007e+01	-6.183815360498715052e-02	4.535676266361495235e-01	-7.150260042140101080e-02	4.535676266361495235e-01
1.313589999999999947e+01	-5.246701047477202867e-02	4.583709540176350572e-01	-6.182680594121656159e-02	4.583709540176350572e-01
1.334830000000000005e+01	-4.133591148244748770e-02	4.633845017700856106e-01	-5.040078908863113855e-02	4.633845017700856106e-01
1.356419999999999959e+01	-2.980639748277736159e-02	4.642965421629781098e-01	-3.858558342334001551e-02	4.642965421629781098e-01
1.378359999999999985e+01	-1.987278782309138958e-02	4.645116763279960037e-01	-2.837529464941557916e-02	4.645116763279960037e-01
1.400660000000000061e+01	-1.053696308875231094e-02	4.647710581401154895e-01	-1.877146875172071641e-02	4.647710581401154895e-01
1.423310000000000031e+01	-9.363216881404193715e-04	4.650859195363414855e-01	-8.911412633511941322e-03	4.650859195363414855e-01
1.446330000000000027e+01	9.571355840643299903e-03	4.647577684537428921e-01	1.847528495347300695e-03	4.647577684537428921e-01
1.469730000000000025e+01	2.045783160660124070e-02	4.622250921782135591e-01	1.297741115786523250e-02	4.622250921782135591e-01
1.493500000000000050e+01	2.981565358244117961e-02	4.572084068227335041e-01	2.257086784983567546e-02	4.572084068227335041e-01
1.517650000000000077e+01	3.721397812790447346e-02	4.522761182944996516e-01	3.019734526882374842e-02	4.522761182944996516e-01
1.542200000000000060e+01	4.342095872445349281e-02	4.473959754594175608e-01	3.662535876180529615e-02	4.473959754594175608e-01
